Ministerio,Subsecretaria,Servicio,Pregunta,subpregunta,Respuesta
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de canales de denuncia,Teléfono,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de capacitación de Códigos de Ética,Curso de Código de Ética,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de capacitación de Códigos de Ética,Grupo de discusión,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de capacitación de Códigos de Ética,Material legal específico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de capacitación de Códigos de Ética,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de capacitación de Sistema de Integridad,"Grupo de discusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2018,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2020,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2018,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2020,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2018,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2020,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de Estructura de Integridad,"Actividad específica ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de Estructura de Integridad,"Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de Estructura de Integridad,"Otros ",9100
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de Estructura de Integridad,"Vía página web o intranet del servicio ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Actividad específica ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Otros ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Vía página web o intranet del servicio ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Actividad específica ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Estrategia / Programa de difusión ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Otros ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Vía página web o intranet del servicio ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2018 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2019 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2020 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2018 ",1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2019 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2020 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2018 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2019 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2020 ",
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de consulta,Correo electrónico,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de consulta,Funcionario encargado,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de consulta,"Intranet ",0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de consulta,Oficina de Partes,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de consulta,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de consulta,Teléfono,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de denuncia,Archivo electrónico,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de denuncia,Drive institucional,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de denuncia,Otro,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de denuncia,Plataforma interna,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Medios de registro de denuncia,Registro en papel,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Registro Interno de Consulta,,Tiene Registro Interno de Consulta
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Registro Interno de Denuncia,,Tiene Registro Interno de Denuncia
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Resolución que designa Asesores Técnicos ",,2018
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Resolución que designa Comité de Integridad ",,2018
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Resolución que designa Coordinador de Integridad ",,2022
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Consultas Respondidas 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias con Investigación Sumaria 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias con Sumario Administrativo 2019,NULL
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias Desestimada 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias en Proceso 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias Respondidas 2019,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,Promedio de Días de Demora en Responder una Consulta 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,Promedio de Días de Demora en Responder una Denuncia 2019,
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Tiene Codigo de Etica,,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted conoce el Código de Ética de su institución,a.Si conoce el Código de Ética,14
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted conoce el Código de Ética de su institución,b.No conoce el Código de Ética,1
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted conoce el Código de Ética de su institución,c.No tiene conocimiento de este instrumento,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted conoce el Código de Ética de su institución,"No responde ",11
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted conoce la Estructura de Integridad			 ",a.	Si conoce la Estructura de Integridad,7
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted conoce la Estructura de Integridad			 ",b.	No conoce la Estructura de Integridad,14
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted conoce la Estructura de Integridad			 ",c.	Tengo alguna información de la Estructura de Integridad,5
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted conoce la Estructura de Integridad			 ",No responde,0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","No responde ",4
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","No sabe cómo utilizar el canal de consulta en materia Integridad ",10
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","Si sabe cómo utilizar el canal de consulta en materia Integridad ",9
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de consulta en materia de integridad de su institución. ","Tengo información incompleta sobre cómo utilizar el canal de consulta ",3
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","No responde ",2
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","No sabe cómo utilizar el canal de denuncia en materia Integridad ",10
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","Si sabe cómo utilizar el canal de denuncia en materia Integridad ",10
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe cómo utilizar el canal de denuncia en materia de integridad de su institución. ","Tengo información incompleta sobre cómo utilizar el canal de denuncia ",4
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","No existe un canal de consulta en materia Integridad ",4
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","No responde ",0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","Si existe un canal de consulta en materia Integridad ",12
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,"Usted sabe si existe en su institución un canal de consulta en materia de integridad			 ","Tengo alguna información relacionada con el canal de consulta, pero no puedo asegurar si existe un canal para ello ",10
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"No existe un canal de denuncia en materia Integridad ",2
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"No responde ",0
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"Si existe un canal de denuncia en materia Integridad ",15
Ministerio de Agricultura,Subsecretaría de Agricultura,Subsecretaría de Agricultura,Usted sabe si existe en su institución un canal de denuncia en materia de integridad,"Tengo alguna información relacionada con el canal de denuncia, pero no puedo asegurar si existe un canal para ello ",9
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Capacitación de Código de Etica,,Si Realiza capacitación del Código
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Capacitación del Sistema de Integridad,,Si Realiza capacitación del Sistema de Integridad
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Curso de Código de Ética ","Otro ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Difusión de Código de Etica,,Si Realiza algún tipo de Difusión de Código
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Difusión de los Funcionarios Encargados del Proceso de Consulta ",,Si ha difundido los encargados del proceso de Consulta
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Difusión de los Funcionarios Encargados del Proceso de Denuncia ",,Si ha difundido los encargados del proceso de Denuncia
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Difusión de los Participantes de la Estructura de Integridad,,Si ha difundido los participantes de la Estructura
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Difusión del sistema de Integridad,,Si Realiza algún tipo de Difusión del Sistema de Integridad
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Existencia de Canales de Consulta,,Existencia de Canales de Consulta
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Existencia de Canales de Denuncia,,Existencia de Canales de Denuncia
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Existencia de Diagrama de Consulta,,Existencia de diagrama de Consulta
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Existencia de Diagrama de Denuncia,,Existencia de diagrama de Denuncia
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Fecha de última actualización del Código de Ética vigente,,
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Frecuencia Reporte del Coordinador a la Autoridad,,No reporta
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Frecuencia Reporte del Coordinador al comité,,"Semestral "
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Grupo de discusión ","Material legal específico ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,% de Consultas Respondidas post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,% de Denuncias con Investigación Sumaria post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,% de Denuncias con Sumario Administrativo post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,% de Denuncias Desestimada post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,% de Denuncias en Proceso post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,% de Denuncias Respondidas post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,Promedio de Días de Demora en Responder una Consulta post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Indicadores Medidos con Posterioridad  2019,Promedio de Días de Demora en Responder una Denuncia post 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Material legal específico ","Curso de Código de Ética ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de consulta,Correo electrónico,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de consulta,Funcionario encargado,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de consulta,Intranet,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de consulta,Oficina de Partes,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de consulta,Otro,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de consulta,Teléfono,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de denuncia,Correo electrónico,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de denuncia,Funcionario encargado,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de denuncia,Intranet,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de denuncia,"Oficina de Partes ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de denuncia,"Otro ",0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de canales de denuncia,Teléfono,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de capacitación de Códigos de Ética,Curso de Código de Ética,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de capacitación de Códigos de Ética,Grupo de discusión,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de capacitación de Códigos de Ética,Material legal específico,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de capacitación de Códigos de Ética,Otro,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de capacitación de Sistema de Integridad,"Grupo de discusión ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2018,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Actividad de difusión Codigo de Etica 2020,
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2018,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2019,
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Hito de lanzamiento Codigo de Etica 2020,
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2018,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión de Códigos de Ética,Programa de difusión Codigo de Etica 2020,
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de Estructura de Integridad,"Actividad específica ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de Estructura de Integridad,"Estrategia / Programa de difusión ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de Estructura de Integridad,"Otros ",9100
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de Estructura de Integridad,"Vía página web o intranet del servicio ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Actividad específica ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Estrategia / Programa de difusión ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Otros ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Medios de Difusión de los Funcionarios Encargados del Proceso de Consulta			 ","Vía página web o intranet del servicio ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Actividad específica ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Estrategia / Programa de difusión ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Otros ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de Difusión de los Funcionarios Encargados del Proceso de Denuncia,"Vía página web o intranet del servicio ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2018 ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2019 ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Actividad de difusión Sistema de Integridad 2020 ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2018 ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2019 ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Hito de lanzamiento Sistema de Integridad 2020 ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2018 ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2019 ",1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de difusión del Sistema de Integridad,"Programa de difusión Sistema de Integridad 2020 ",
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de consulta,Correo electrónico,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de consulta,Funcionario encargado,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de consulta,"Intranet ",0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de consulta,Oficina de Partes,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de consulta,Otro,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de consulta,Teléfono,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de denuncia,Archivo electrónico,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de denuncia,Drive institucional,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de denuncia,Otro,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de denuncia,Plataforma interna,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Medios de registro de denuncia,Registro en papel,0
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Registro Interno de Consulta,,Tiene Registro Interno de Consulta
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Registro Interno de Denuncia,,Tiene Registro Interno de Denuncia
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Resolución que designa Asesores Técnicos ",,2019
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Resolución que designa Comité de Integridad ",,2019
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,"Resolución que designa Coordinador de Integridad ",,2018
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Consultas Respondidas 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias con Investigación Sumaria 2019,1
Ministerio de Defensa Nacional,Subsecretaría de Defensa,Subsecretaría de Defensa,Su institución reportó al Servicio Civil con fecha de corte 23 de abril del 2019 (de acuerdo con el oficio 2339) los siguientes indicadores:,% de Denuncias con Sumario Administrativo 2019,1
