Nivel;Tipo Cargo;Ministerio;Servicio;Nombre Cargo;Fecha Nombramiento;Fecha Inicio Labor;Concurso;Sexo
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Contabilidad y Finanzas;Director/a Nacional;30-09-2010;30-09-2010;1195;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Portuarias;Director/a Nacional;13-10-2010;13-10-2010;1196;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Director/a Nacional;04-10-2011;22-08-2011;1197;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Fiscalía del Ministerio de Obras Públicas;Fiscal Nacional;07-12-2010;07-12-2010;1198;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;23-11-2010;23-11-2010;1220;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;23-02-2011;14-03-2011;1230;Hombre
Nivel I;Adscrito;Ministerio de Minería;Comisión Chilena del Cobre;Vicepresidente/a Ejecutivo/a;04-01-2011;04-01-2011;1232;Hombre
Nivel I;Adscrito;Ministerio de Salud;Instituto de Salud Pública;Director/a;27-12-2010;01-01-2011;1278;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;07-01-2011;07-01-2011;1283;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Ríos;Director/a;07-01-2011;07-01-2011;1284;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;05-01-2011;05-01-2011;1285;Mujer
Nivel I;Adscrito;Ministerio de Energía;Comisión Chilena de Energía Nuclear;Director/a Ejecutivo/a;16-02-2011;17-02-2011;1293;Hombre
Nivel I;Adscrito;Ministerio de Educación;Consejo de Rectores;Secretario/a General;23-01-2012;16-01-2012;1299;Mujer
Nivel I;Adscrito;Ministerio de Minería;Servicio Nacional de Geología y Minería;Director/a Nacional;27-01-2011;21-01-2011;1300;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aconcagua;Director/a Servicio de Salud;05-01-2011;05-01-2011;1303;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;04-01-2011;04-01-2011;1304;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;21-12-2010;01-01-2011;1313;Mujer
Nivel I;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Superintendente/a;07-04-2011;08-04-2011;1314;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Director/a General;12-04-2011;20-04-2011;1315;Hombre
Nivel I;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Director/a;10-06-2011;17-06-2011;1335;Hombre
Nivel I;Adscrito;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Superintendente/a;11-03-2011;11-03-2011;1346;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Tesorero/a General;27-04-2011;16-05-2011;1347;Hombre
Nivel I;Adscrito;Ministerio del Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;Director/a;03-11-2011;22-10-2011;1349;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;14-04-2011;01-05-2011;1362;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Coquimbo;Director/a Regional Serviu Coquimbo;14-04-2011;01-05-2011;1367;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;14-04-2011;01-05-2011;1369;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Director/a Servicio de Salud;28-06-2011;01-07-2011;1372;Hombre
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad Estudios;26-05-2011;01-06-2011;1382;Mujer
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad de Promoción, Educación y Participación;26-05-2011;01-06-2011;1383;Hombre
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad de Protección de Derechos, Legislación y Justicia;26-05-2011;01-06-2011;1384;Hombre
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad Administración y Finanzas;26-05-2011;01-06-2011;1385;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Servicio de Salud;15-06-2011;01-07-2011;1389;Hombre
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Secretario/a General;23-08-2011;22-08-2011;1406;Hombre
Nivel I;Adscrito;Otros Organismos;Congreso de la República;Abogado/a del Comité de Auditoría Parlamentaria;21-01-2011;21-01-2011;1416;Hombre
Nivel I;Adscrito;Otros Organismos;Congreso de la República;Contador/a Auditor/a del Comité de Auditoría Parlamentaria;09-03-2011;09-03-2011;1417;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;28-06-2011;30-06-2011;1419;Hombre
Nivel I;Adscrito;Otros Organismos;Congreso de la República;Profesional Especialista en Auditoría del Comité de Auditoría Parlamentaria;21-01-2011;21-01-2011;1420;Hombre
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Nacional;08-04-2011;08-04-2011;1426;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Director/a Regional Serviu OHiggins;14-07-2011;14-07-2011;1439;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;23-11-2011;21-11-2011;1440;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Servicio de Salud;10-06-2011;01-06-2011;1443;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Aysén del General Carlos Ibáñez del Campo;Director/a;05-12-2011;05-12-2011;1456;Hombre
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Nacional;14-09-2011;15-07-2011;1465;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Nacional;27-05-2011;27-05-2011;1476;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;28-09-2011;01-09-2011;1498;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Defensoría Penal Pública;Defensor Nacional;31-08-2011;29-08-2011;1512;Hombre
Nivel I;Adscrito;Ministerio de Relaciones Exteriores;Agencia Chilena de Cooperación Internacional para el Desarrollo;Director/a Ejecutivo/a;30-08-2011;30-08-2011;1515;Hombre
Nivel I;Adscrito;Otros Organismos;Tribunal Tributario Aduanero Región de Ñuble y la Región del Bío-Bío;Secretario/a Abogado/a;20-01-2012;26-12-2011;1526;Hombre
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Vicepresidente/a Ejecutivo/a;08-08-2011;03-08-2011;1535;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Magallanes y de la Antártica Chilena;Director Regional Serviu Magallanes;22-11-2011;07-12-2011;1543;Hombre
Nivel I;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Nacional;19-08-2011;18-07-2011;1546;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Servicio de Salud;15-09-2011;22-09-2011;1552;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;15-09-2011;26-09-2011;1565;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;07-11-2011;09-11-2011;1570;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;23-11-2011;21-11-2011;1586;Hombre
Nivel I;Adscrito;Ministerio de Agricultura;Comisión Nacional de Riego;Secretario/a Ejecutivo/a;09-01-2012;02-01-2012;1589;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Nacional;20-12-2011;26-12-2011;1665;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Atacama;Director/a Regional Serviu Atacama;27-03-2013;02-04-2012;1685;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Superintendencia de Casinos de Juego;Superintendente/a;07-05-2012;01-06-2012;1692;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;27-01-2012;26-01-2012;1693;Hombre
Nivel I;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Nacional;07-02-2012;01-02-2012;1697;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Fiscalía del Ministerio de Obras Públicas;Fiscal Nacional;08-03-2012;03-02-2012;1721;Hombre
Nivel I;Adscrito;Otros Organismos;Instituto Nacional de Derechos Humanos;Jefe/a Unidad de Protección de Derechos, Legislación y Justicia;24-04-2012;24-04-2012;1757;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Director/a;02-05-2012;16-04-2012;1758;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Nacional;10-10-2014;24-10-2014;1765;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Servicio de Salud;08-10-2012;12-09-2012;1796;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;21-12-2012;01-01-2013;1800;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Parque Metropolitano de Santiago;Director/a;06-09-2012;02-09-2012;1827;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;09-01-2013;07-01-2013;1835;Mujer
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Director/a Nacional;11-01-2013;11-01-2013;1911;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Director/a Nacional;31-01-2013;01-02-2013;1925;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Director/a Nacional;09-10-2012;16-10-2012;1930;Hombre
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Secretario/a General;17-01-2013;18-01-2013;1947;Hombre
Nivel I;Adscrito;Ministerio de Minería;Servicio Nacional de Geología y Minería;Director/a Nacional;26-04-2013;03-01-2013;1980;Hombre
Nivel I;Adscrito;Ministerio de Educación;Superintendencia de Educación;Superintendente/a;22-03-2013;11-03-2013;2004;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Servicio de Salud;22-07-2013;08-07-2013;2008;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Unidad de Análisis Financiero;Director/a;11-01-2013;11-01-2013;2058;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de la Araucanía;Director/a Regional Serviu Araucanía;14-10-2013;16-08-2013;2071;Hombre
Nivel I;Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Secretario/a Ejecutivo/a;13-09-2013;12-08-2013;2072;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Aguas;Director/a;28-06-2013;01-07-2013;2081;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;23-12-2013;01-11-2013;2087;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Director/a Regional Serviu OHiggins;22-11-2013;01-11-2013;2089;Hombre
Nivel I;Adscrito;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Superintendente/a;27-08-2013;27-08-2013;2120;Hombre
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Nacional;14-06-2013;12-06-2013;2131;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Nacional;27-01-2015;09-02-2015;2151;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;30-10-2013;01-11-2013;2163;Hombre
Nivel I;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional de Prevención y Respuesta ante Desastres;Director/a;20-11-2013;20-11-2013;2175;Hombre
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Nacional;12-08-2013;12-08-2013;2200;Hombre
Nivel I;Adscrito;Otros Organismos;Consejo para la Transparencia;Director/a Jurídico/a;24-09-2013;24-09-2013;2237;Hombre
Nivel I;Adscrito;Ministerio de Salud;Superintendencia de Salud;Superintendente/a;02-06-2015;02-06-2015;2274;Hombre
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Nacional;18-11-2013;18-11-2013;2276;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;30-10-2013;11-11-2013;2283;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;17-10-2013;02-10-2013;2289;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Ríos;Director/a;17-10-2013;14-10-2013;2290;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;17-10-2013;14-10-2013;2291;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Servicio de Salud;24-12-2014;01-01-2015;2330;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Servicio de Impuestos Internos;Director/a Nacional;26-12-2013;26-12-2013;2352;Hombre
Nivel I;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Ejecutivo/a;01-08-2014;01-08-2014;2375;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Director/a Nacional;10-09-2014;20-10-2014;2415;Hombre
Nivel I;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Nacional;10-09-2014;10-09-2014;2433;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;07-11-2014;03-12-2014;2438;Mujer
Nivel I;Adscrito;Ministerio de Educación;Consejo de Rectores;Secretario/a General;30-04-2015;25-05-2015;2441;Mujer
Nivel I;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Nacional;22-07-2014;01-08-2014;2450;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;22-12-2014;01-01-2015;2469;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Servicio de Impuestos Internos;Director/a Nacional;09-04-2015;14-04-2015;2483;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Servicio Nacional de Aduanas;Director/a Nacional;10-09-2014;10-09-2014;2484;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Tesorero/a General;10-09-2014;13-10-2014;2485;Hombre
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Nacional;22-12-2014;05-01-2015;2488;Hombre
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Nacional;21-11-2014;15-12-2014;2489;Mujer
Nivel I;Adscrito;Ministerio de Energía;Comisión Nacional de Energía;Secretario/a Ejecutivo/a;19-08-2014;05-09-2014;2490;Hombre
Nivel I;Adscrito;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Director/a Nacional;10-09-2014;13-10-2014;2491;Mujer
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Nacional;17-11-2014;24-11-2014;2492;Hombre
Nivel I;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Director/a Nacional;10-10-2014;10-10-2014;2496;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Director/a Nacional;10-10-2014;15-10-2014;2497;Mujer
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Pensiones;Superintendente/a;09-07-2014;31-07-2014;2498;Mujer
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Director/a Nacional;27-01-2015;09-02-2015;2499;Hombre
Nivel I;Adscrito;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Superintendente/a;10-10-2014;10-10-2014;2500;Hombre
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Vicepresidente/a Ejecutivo/a;02-02-2015;17-03-2015;2501;Mujer
Nivel I;Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Secretario/a Ejecutivo/a;01-08-2014;18-08-2014;2502;Hombre
Nivel I;Adscrito;Ministerio de las Culturas, las artes y el Patrimonio;Dirección de Bibliotecas, Archivos y Museos;Director/a Nacional de Bibliotecas, Archivos y Museo y Director/a de la Biblioteca Nacional;05-12-2014;19-12-2014;2503;Hombre
Nivel I;Adscrito;Ministerio de Ciencia, Tecnología, Conocimiento e Innovación;Comisión Nacional de Investigación Científica y Tecnológica;Director/a Ejecutivo/a;02-02-2015;16-03-2015;2504;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Servicio de Salud;07-11-2014;24-11-2014;2508;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;24-12-2014;01-01-2015;2509;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Servicio de Salud;09-03-2015;09-03-2015;2510;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Arauco;Director/a Servicio de Salud;05-03-2015;16-03-2015;2511;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Servicio de Salud;01-10-2015;15-10-2015;2512;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Servicio de Salud;24-12-2014;24-12-2014;2513;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Servicio de Salud;05-03-2015;17-03-2015;2514;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Servicio de Salud;27-01-2015;01-02-2015;2515;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Servicio de Salud;05-03-2015;16-03-2015;2516;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a Servicio de Salud;24-12-2014;24-12-2014;2517;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;25-11-2014;01-12-2014;2518;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur-Oriente;Director/a Servicio de Salud;27-01-2015;01-02-2015;2519;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Servicio de Salud;05-03-2015;05-03-2015;2520;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Director/a Servicio de Salud;22-12-2014;01-01-2015;2521;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Director/a;21-11-2014;12-01-2015;2537;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Director/a Regional Serviu OHiggins;07-11-2014;03-12-2014;2538;Hombre
Nivel I;Adscrito;Ministerio de Defensa Nacional;Caja de Previsión de la Defensa Nacional;Vicepresidente/a Ejecutivo/a;10-10-2014;10-10-2014;2547;Hombre
Nivel I;Adscrito;Ministerio de Minería;Servicio Nacional de Geología y Minería;Director/a Nacional;10-10-2014;10-10-2014;2550;Hombre
Nivel I;Adscrito;Ministerio de Minería;Comisión Chilena del Cobre;Vicepresidente/a Ejecutivo/a;10-10-2014;10-10-2014;2551;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;15-12-2014;01-01-2015;2570;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Tarapacá;Director/a Regional Serviu Tarapacá;21-11-2014;01-12-2014;2571;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Atacama;Director/a Regional Serviu Atacama;22-12-2014;01-01-2015;2572;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Valparaíso;Director/a Regional Serviu Valparaíso;17-03-2015;17-03-2015;2573;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Magallanes y de la Antártica Chilena;Director Regional Serviu Magallanes;24-12-2014;19-01-2015;2576;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Ríos;Director/a;02-02-2015;02-03-2015;2626;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Portuarias;Director/a Nacional;10-10-2014;15-10-2014;2630;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Servicio de Salud;05-03-2015;16-03-2015;2632;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;02-02-2015;09-02-2015;2635;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Servicio de Salud;24-12-2014;24-12-2014;2645;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Servicio de Salud;05-03-2015;16-03-2015;2647;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Director/a Servicio de Salud;10-10-2014;10-10-2014;2648;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Magallanes;Director/a Servicio de Salud;05-03-2015;16-03-2015;2649;Mujer
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Nacional;22-12-2014;24-12-2014;2662;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Director/a Servicio de Salud;18-11-2014;01-12-2014;2705;Mujer
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Servicio de Salud;19-12-2014;19-12-2014;2706;Hombre
Nivel I;Adscrito;Otros Organismos;Consejo para la Transparencia;Director/a de Estudios;26-09-2014;26-09-2014;2707;Mujer
Nivel I;Adscrito;Ministerio de Educación;Superintendencia de Educación;Superintendente/a;22-12-2014;22-12-2014;2708;Hombre
Nivel I;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Director/a;22-06-2015;22-06-2015;2709;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Defensoría Penal Pública;Defensor Nacional;22-12-2014;24-12-2014;2779;Hombre
Nivel I;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Seguridad Social;Superintendente/a;10-10-2014;01-11-2014;2790;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Instituto Nacional de Hidráulica;Director/a Ejecutivo/a;01-06-2015;01-07-2015;2792;Mujer
Nivel I;Adscrito;Ministerio de Relaciones Exteriores;Agencia Chilena de Cooperación Internacional para el Desarrollo;Director/a Ejecutivo/a;05-03-2015;05-03-2015;2824;Hombre
Nivel I;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Secretario/a General;12-12-2014;12-12-2014;2825;Hombre
Nivel I;Adscrito;Ministerio de Relaciones Exteriores;Dirección Nacional de Fronteras y Límites;Director/a Nacional;07-09-2015;15-10-2015;2863;Mujer
Nivel I;Adscrito;Ministerio de Obras Públicas;Fiscalía del Ministerio de Obras Públicas;Fiscal Nacional;26-10-2015;02-11-2015;2871;Hombre
Nivel I;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;Director/a Nacional;08-07-2015;14-07-2015;2872;Hombre
Nivel I;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Nacional;11-08-2015;19-08-2015;2928;Mujer
Nivel I;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Nacional;14-05-2015;14-05-2015;2940;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Contabilidad y Finanzas;Director/a Nacional;06-05-2015;05-06-2015;2948;Mujer
Nivel I;Adscrito;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;Director/a Ejecutivo/a;07-08-2015;07-08-2015;2949;Hombre
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Aguas;Director/a;06-05-2015;05-06-2015;2954;Hombre
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Servicio de Salud;22-06-2015;22-06-2015;2982;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Maule;Director/a Regional Serviu Maule;07-09-2015;07-09-2015;3054;Hombre
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;02-07-2015;01-08-2015;3055;Mujer
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de la Araucanía;Director/a Regional Serviu Araucanía;02-07-2015;07-07-2015;3057;Hombre
