Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Año Convocatoria;Mes Convocatoria;Concurso;Id Cargo
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Maule;2014;oct;2704;II 298
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Bío-Bío;2014;oct;2902;II 299
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Metropolitana;2014;oct;2810;II 297
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región Metropolitana Santiago Oriente;2014;oct;2910;II 59
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Tarapacá;2014;oct;2751;II 193
Nivel II;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Jefe/a de División de Auditoría Interna;2014;oct;2598;II 602
Nivel II;Adscrito;Ministerio de Hacienda;Servicio Nacional de Aduanas;Subdirector/a Función Fiscalización;2014;sep;2691;II 71
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Atención Primaria;2014;sep;2606;II 540
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Magallanes y la Antártica Chilena;2014;ago;2807;II 141
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Subdirector/a de Operaciones;2014;ago;2651;II 228
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Jefe/a Departamento de Crédito;2014;ago;2759;II 262
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Jefe/a de División Operaciones y Atención Ciudadana;2014;ago;2700;II 45
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Tarapacá;2014;ago;2890;II 300
Nivel II;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Regional Coquimbo;2014;ago;2653;II 682
Nivel II;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Regional Valparaíso;2014;ago;2658;II 683
Nivel II;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Regional OHiggins;2014;ago;2659;II 685
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Araucanía;2014;ago;2582;II 822
Nivel II;Adscrito;Ministerio de Hacienda;Servicio Nacional de Aduanas;Director/a Regional de Aduana Antofagasta, Región de Antofagasta;2014;nov;2695;II 76
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Hospital de Puerto Aysén;2014;oct;2841;II 581
Nivel II;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Director/a Regional Metropolitana;2014;oct;2596;II 609
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Jefe/a División Jurídica;2014;sep;2849;II 97
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Defensoría Penal Pública;Jefe/a Unidad Departamento Gestión de Personas y Desarrollo Organizacional;2014;sep;2906;II 222
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Dirección General de Crédito Prendario;Jefe/a Departamento Jurídico;2014;ago;2629;II 261
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Arquitectura;Jefe/a División Planificación y Coordinación;2014;ago;2661;II 317
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Subdirector/a Administrativo/a Servicio de Salud;2014;ago;2535;II 371
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Hospital San José;2014;ago;2478;II 424
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Bdo. OHiggins;2014;ago;2559;II 632
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Valparaíso;2014;ago;2800;II 134
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Director/a Hospital Dr. Eduardo Pereira;2014;ago;2878;II 419
Nivel II;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Regional Tarapacá;2014;ago;2773;II 679
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Valparaíso;2014;nov;2942;II 817
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Subdirector/a de Desarrollo;2014;jul;2795;II 128
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Tarapacá;2014;jul;2553;II 626
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Atacama;2014;jun;2555;II 628
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Valparaíso;2014;jun;2557;II 630
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Antofagasta;2014;jul;2798;II 132
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Tarapacá;2014;jul;2797;II 138
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Hospital Regional de Antofagasta;2014;ago;2778;II 374
Nivel II;Adscrito;Ministerio de Hacienda;Dirección de Compras y Contratación Pública;Jefe/a División de Compras Colaborativas;2014;jul;2464;II 40
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región de Coquimbo;2014;jul;2619;II 55
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Pensiones;Jefe/a de División, Función: Estudios;2014;jul;2846;II 732
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Bío Bío;2014;jul;2561;II 634
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Araucanía;2014;jul;2562;II 635
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Gendarmería de Chile;Subdirector/a Administración y Finanzas;2014;jun;2710;II 831
Nivel II;Adscrito;Ministerio de Relaciones Exteriores;Instituto Antártico Chileno;Subdirector/a Nacional;2014;may;2523;II 8
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Atacama;2014;dic;2986;II 212
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Hospital Clínico San Borja Arriarán;2014;sep;2860;II 445
Nivel II;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Regional Metropolitano/a;2014;dic;2657;II 684
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Fiscal;2014;jun;2493;II 131
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional de Atacama;2023;ene;ADP-13194;II 301
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional de Ñuble;2023;mar;ADP-14679;II 1495
Nivel II;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Regional Metropolitano/a;2023;mar;ADP-15654;II 684
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Regional de Valparaíso;2023;may;ADP-17660;II 118
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Regional Aysén;2023;mar;ADP-14059;II 124
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director Regional Bío - Bío;2023;mar;ADP-8678;II 122
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional del Bío-Bío;2023;mar;ADP-16475;II 749
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a de Hospital San Martín de Quillota;2023;mar;ADP-11872;II 406
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Antofagasta;2023;feb;ADP-14060;II 149
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación de Puerto Cordillera;Jefe/a de Planificación y Control de Gestión;2023;abr;ADP-15239;II 1463
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional de Migraciones;Director/a Regional de la Región de Ñuble;2023;mar;ADP-9722;II 1758
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a Departamento Gestión y Desarrollo de Personas;2023;mar;ADP-13731;II 264
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a de Hospital de Talagante;2023;mar;ADP-15540;II 461
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de Protección Especializada a la Niñez y Adolescencia;Director/a Regional Atacama;2023;may;ADP-14062;II 1657
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Araucanía;2023;abr;ADP-15456;II 216
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Agencia de Promoción de la Inversión Extranjera;Jefe/a División Jurídica;2023;ene;ADP-12544;II 1116
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Aeropuertos;Jefe/a de División de Infraestructura Aeroportuaria;2023;ene;ADP-12384;II 1149
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a de Hospital San Juan de Dios de La Serena;2023;ene;ADP-15104;II 389
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Corporación Nacional de Desarrollo Indígena;Subdirector/a Nacional Temuco;2023;ene;ADP-12929;II 1240
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Jefe/a Departamento Clientes y Entornos;2023;ene;ADP-15458;II 760
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Subdirector/a Médico/a Hospital Clínico San Borja Arriarán;2023;ene;ADP-15908;II 447
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Administrativo de los Gobiernos Regionales;Jefe/a Unidad de Control del Gobierno Regional  de la Región de Valparaíso;2023;ene;ADP-11653;II 1614
Nivel II;Adscrito;Ministerio de las Culturas, las artes y el Patrimonio;Servicio Nacional del Patrimonio Cultural;Director/a Regional de Los Lagos;2023;ene;ADP-16525;II 1481
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Atacama;2023;abr;ADP-17600;II 195
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Director/a de Hospital Base de Valdivia;2023;abr;ADP-17139;II 559
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Administrativo de los Gobiernos Regionales;Jefe/a de Unidad de Control del Gobierno Regional Maule;2020;mar;ADP-5318;II 1617
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Atacama;Directivo/a Jefe/a de Gestión Territorial.;2020;mar;ADP-5090;II 1582
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Magallanes;Director/a Hospital Puerto Natales;2020;mar;ADP-5183;II 1180
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Regional OHiggins;2020;oct;ADP-5894;II 1130
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Regional Antofagasta;2020;oct;ADP-5892;II 106
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Llanquihue;Directivo/a Jefe/a de Gestión de Personas;2020;ene;ADP-5200;II 1576
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Colchagua;Directivo/a Jefe/a de Gestión de Personas.;2020;ene;ADP-5205;II 1592
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Subdirector/a Administrativo/a Hospital Dr. Félix Bulnes Cerda;2020;jun;ADP-5172;II 452
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Andalién Sur;Directivo/a Jefe/a de Gestión Territorial.;2020;ago;ADP-5190;II 1523
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Subdirector/a Administrativo/a Hospital Dr. Gustavo Fricke;2020;sep;ADP-5354;II 401
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Gabriela Mistral;Directivo/a Jefe/a de Gestión Territorial.;2020;ago;ADP-5195;II 1528
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Regional Los Lagos;2020;oct;ADP-5683;II 125
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Atención Primaria;2020;ago;ADP-5085;II 714
Nivel II;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Metropolitano;Subirector/a de Administración y Finanzas;2020;ago;ADP-5422;II 1227
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación de Puerto Cordillera;Jefe/a de Planificación y Control de Gestión;2020;dic;ADP-6179;II 1463
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud del Reloncaví;Director/a Atención Primaria;2020;jul;ADP-5156;II 576
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Atacama;Directivo/a - Jefe/a de Gestión de Personas;2020;ene;ADP-5204;II 1586
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a de Atención Primaria;2020;nov;ADP-6033;II 375
Nivel II;Adscrito;Ministerio de Salud;Fondo Nacional de Salud;Jefe/a de División Gestión Financiera;2020;nov;ADP-6096;II 1436
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Subdirector/a de Administración y Finanzas;2020;nov;ADP-5329;II 229
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Subdirector/a de Desarrollo Territorial y Gestión;2020;mar;ADP-5278;II 1627
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Magallanes y la Antártica Chilena;2020;oct;ADP-5149;II 200
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Atención Primaria;2020;jun;ADP-5337;II 448
Nivel II;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Portuarias;Jefe/a División de Proyectos;2020;ene;ADP-5231;II 323
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Bío-Bío;2020;jul;ADP-5409;II 203
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Regional Antofagasta;2020;abr;ADP-5313;II 1125
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Regional Tarapacá;2020;abr;ADP-5287;II 1124
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Chinchorro;Directivo/a Jefe/a de Planificación y Control de Gestión.;2020;abr;ADP-5186;II 1519
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Corporación de Fomento de la Producción;Fiscal;2020;jun;ADP-5390;II 1294
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Subdirector/a Administrativo/a Hospital Exequiel González;2020;jun;ADP-5360;II 467
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Chinchorro;Directivo/a Jefe/a de Administración y Finanzas.;2020;abr;ADP-5188;II 1521
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Pensiones;Intendente/a de Regulación de Prestadores Públicos y Privados;2020;oct;ADP-5686;II 309
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Subdirector/a;2020;may;ADP-5324;II 1121
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Hospital de Coronel;2020;may;ADP-5181;II 519
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Gabriela Mistral;Directivo/a Jefe/a de Gestión de Personas.;2020;jul;ADP-5199;II 1532
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Hospital de Cauquenes;2020;nov;ADP-6034;II 503
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Bío-Bío;2020;dic;ADP-6099;II 203
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Regional Antofagasta;2021;mar;ADP-6942;II 845
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;Director/a Regional Antofagasta;2021;sep;ADP-8575;II 794
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de Protección Especializada a la Niñez y Adolescencia;Director/a Regional Antofagasta;2021;sep;ADP-7569;II 1656
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de Protección Especializada a la Niñez y Adolescencia;Fiscal;2021;jun;ADP-7560;II 1648
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Director/a Hospital de Victoria;2021;jun;ADP-8034;II 541
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Biobío;Director/a Hospital Dr. Victor Ríos Ruiz de los Ángeles;2021;jul;ADP-8329;II 530
Nivel II;Adscrito;Ministerio de Defensa Nacional;Dirección General de Aeronáutica Civil;Director/a Fiscal;2021;abr;ADP-7150;II 32
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de Protección Especializada a la Niñez y Adolescencia;Director/a Regional Bío-Bío;2021;may;ADP-7576;II 1664
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Hospital Traumatológico;2021;jun;ADP-7386;II 520
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Subdirector/a Administrativo/a Servicio de Salud;2021;ago;ADP-8563;II 505
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Metropolitano/a;2021;ago;ADP-8543;II 818
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Hospital Guillermo Grant Benavente;2021;abr;ADP-6278;II 517
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Sur;Director/a Hospital de Mediana Complejidad Psiquiátrico El Peral;2021;may;ADP-8043;II 475
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación Pública Gabriela Mistral;Directivo/a Jefe/a de Gestión Territorial.;2021;ene;ADP-6371;II 1528
Nivel II;Adscrito;Ministerio de Relaciones Exteriores;Agencia Chilena de Cooperación Internacional para el Desarrollo;Jefe de División de Administración, Finanzas y Desarrollo de Personas;2021;jul;ADP-8340;II 1671
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Hospital de Río Negro;2021;oct;ADP-7385;II 568
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Subdirector/a Administrativo/a Servicio de Salud;2021;jun;ADP-7056;II 485
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Director/a Hospital Instituto de Neurocirugía;2021;dic;ADP-8330;II 436
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de Protección Especializada a la Niñez y Adolescencia;Director/a Regional Los Lagos;2021;ago;ADP-7581;II 1666
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Director/a Regional Arica y Parinacota;2021;ago;ADP-7237;II 677
Nivel II;Adscrito;Ministerio de Defensa Nacional;Dirección General de Aeronáutica Civil;Director/a Función Departamento Secretaría General;2021;mar;ADP-7051;II 35
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Hospital de Ancud;2021;oct;ADP-9204;II 578
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Ñuble;Director/a Hospital de San Carlos;2021;nov;ADP-9768;II 512
Nivel II;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Director/a Regional Antofagasta;2021;oct;ADP-9560;II 163
Nivel II;Adscrito;Ministerio de Educación;Servicio Local de Educación de Barrancas;Jefe/a de Unidad Administración y Finanzas;2021;ene;ADP-6276;II 1457
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a de Departamento de Administración y Finanzas;2021;dic;ADP-5262;II 1140
Nivel II;Adscrito;Ministerio de Hacienda;Dirección Nacional del Servicio Civil;Subdirector/a de Alta Dirección Pública;2021;dic;ADP-10716;II 1267
Nivel II;Adscrito;Ministerio de Salud;Centro de Referencia de Salud de Maipú;Subdirector/a Gestión Clinica;2021;nov;ADP-7932;II 346
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Hospital de Quilpué;2021;nov;ADP-9766;II 407
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Hospital Instituto Psiquiátrico Dr. José Horwitz Barak;2016;jul;3305;II 426
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región Metropolitana Santiago Poniente;2016;may;3239;II 57
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región Metropolitana Santiago Sur;2016;may;3241;II 58
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Subdirector/a Administrativo/a Servicio de Salud;2016;may;3366;II 696
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región del Bío-Bío;2016;abr;3212;II 62
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región de Coquimbo;2016;abr;3172;II 55
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Director/a Regional del Bío-Bío;2016;abr;3337;II 749
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a de Hospital San Pablo de Coquimbo;2016;may;3419;II 390
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Regional Coquimbo;2016;ago;3452;II 236
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Araucanía;2016;ago;2979;II 822
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Tarapacá;Director/a Hospital Dr. Ernesto Torres Galdames de Iquique;2016;abr;3257;II 370
Nivel II;Adscrito;Ministerio de Agricultura;Comisión Nacional de Riego;Jefe/a de División de Estudios y Desarrollo;2016;dic;ADP-3494;II 595
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Hospital Antonio Tirado Lanas de Ovalle;2016;may;3360;II 392
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Subdirector/a Médico/a Hospital Provincial del Huasco;2016;ago;1744;II 704
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Subdirector/a Médico/a Hospital de Urgencia Asistencia Pública;2016;ago;880;II 446
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Norte;Subdirector/a Médico/a Hospital de Victoria;2016;jun;1706;II 544
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Hospital de Peñaflor;2016;jun;3423;II 462
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Aysén;2016;jul;3412;II 218
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Hospital de Talca;2016;jul;3414;II 498
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Agencia de Promoción de la Inversión Extranjera;Jefe/a División de Comunicaciones y Marketing;2016;nov;ADP-3527;II 1119
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Regional, Región de Los Ríos;2016;mar;3252;II 666
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Subdirector/a Médico/a;2016;mar;3326;II 243
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Gendarmería de Chile;Subdirector/a de Reinserción Social;2016;may;3283;II 830
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Regional Los Lagos;2016;jun;3232;II 256
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Hospital Santo Tomás de Limache;2016;abr;3285;II 409
Nivel II;Adscrito;Ministerio de Defensa Nacional;Dirección General de Aeronáutica Civil;Director/a Departamento Función: Aeródromos y Servicios Aeronáuticos;2016;ene;3210;II 37
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Director/a Atención Primaria;2016;abr;2842;II 730
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Hospital Regional Libertador Bernardo OHiggins;2016;jul;3449;II 489
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Director/a Regional Aysén;2017;ene;ADP-3576;II 218
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a de Departamento de Usuarios;2017;mar;ADP-3624;II 1139
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Regional Maule;2017;may;ADP-3668;II 238
Nivel II;Adscrito;Ministerio de la Mujer y la Equidad de Género;Servicio Nacional de la Mujer y la Equidad de Género;Director/a Regional  de Los Lagos;2017;jul;ADP-3729;II 1135
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Regional Antofagasta;2017;jul;ADP-3692;II 248
Nivel II;Adscrito;Ministerio de Obras Públicas;Superintendencia de Servicios Sanitarios;Jefe/a División Jurídica - Fiscal;2017;mar;ADP-3606;II 339
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Metropolitano/a;2017;jun;ADP-3705;II 818
Nivel II;Adscrito;Ministerio de Hacienda;Servicio Nacional de Aduanas;Director/a Regional de Aduana Puerto Montt, Región de Los Ríos y Los Lagos;2017;oct;ADP-3746;II 78
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a División Informática;2017;oct;ADP-3716;II 268
Nivel II;Adscrito;Ministerio de Ciencia, Tecnología, Conocimiento e Innovación;Comisión Nacional de Investigación Científica y Tecnológica;Jefe Departamento Tecnología y Procesos;2017;jun;ADP-2525;II 941
Nivel II;Adscrito;Ministerio de Hacienda;Unidad de Análisis Financiero;Jefe/a División Función Inteligencia Financiera;2017;ene;ADP-3586;II 85
