id Cargo;RBD;Adscrito;Nivel;MINISTERIO;SERVICIO;Entidad;Cargo;Region
II 68;;S;II;Hacienda;Servicio Nacional de Aduanas;;Subdirector/a Función Técnico/a;Valparaíso
II 69;;S;II;Hacienda;Servicio Nacional de Aduanas;;Subdirector/a Función Recursos Humanos;Valparaíso
II 694;;S;II;Hacienda;Unidad de Análisis Financiero;;Jefe/a División Función Fiscalización y Cumplimiento;Metropolitana
II 7;;S;II;Relaciones Exteriores;Dirección Nacional de Fronteras y Límites;;Director/a de Límites;Metropolitana
II 70;;S;II;Hacienda;Servicio Nacional de Aduanas;;Subdirector/a Función Jurídico/a;Valparaíso
II 71;;S;II;Hacienda;Servicio Nacional de Aduanas;;Subdirector/a Función Fiscalización;Valparaíso
II 712;;S;II;Salud;Servicio de Salud Valparaíso - San Antonio;;Subdirector/a Médico/a Hospital Eduardo Pereira;Valparaíso
II 713;;S;II;Salud;Servicio de Salud Valparaíso - San Antonio;;Subdirector/a Médico/a Hospital Claudio Vicuña;Valparaíso
II 72;;S;II;Hacienda;Servicio Nacional de Aduanas;;Subdirector/a Función Informática;Valparaíso
II 73;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Valparaíso;Valparaíso
II 74;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Metropolitano;Metropolitana
II 75;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Tarapacá;Tarapacá
II 76;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Antofagasta;Antofagasta
II 77;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Coquimbo;Coquimbo
II 78;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Los Lagos y  Los Ríos;Los Lagos
II 79;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Aysén;Aysén
II 8;;S;II;Relaciones Exteriores;Instituto Antártico Chileno;;Subdirector/a;Magallanes
II 80;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional BíoBío;Bío Bío
II 81;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 85;;S;II;Hacienda;Unidad de Análisis Financiero;;Jefe/a División Función Inteligencia Financiera;Metropolitana
II 86;;S;II;Hacienda;Unidad de Análisis Financiero;;Jefe/a División Función Jurídica;Metropolitana
II 868;;S;II;Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;;Jefe/a Departamento, Función: Compras;Metropolitana
II 87;;S;II;Hacienda;Unidad de Análisis Financiero;;Jefe/a División Tecnología y Sistemas;Metropolitana
II 89;;S;II;Economía, Fomento y Turismo;Fiscalía Nacional Económica;;Subfiscal Nacional;Metropolitana
II 9;;S;II;Defensa;Caja de Previsión de la Defensa Nacional;;Fiscal;Metropolitana
II 90;;S;II;Economía, Fomento y Turismo;Fiscalía Nacional Económica;;Jefe/a División de Administración y Gestión;Metropolitana
II 91;;S;II;Economía, Fomento y Turismo;Fiscalía Nacional Económica;;Jefe/a División Función: Litigios;Metropolitana
II 92;;S;II;Economía, Fomento y Turismo;Fiscalía Nacional Económica;;Jefe/a División Fusiones y Estudios;Metropolitana
II 93;;S;II;Economía, Fomento y Turismo;Fiscalía Nacional Económica;;Jefe/a División Función Antimonopolios;Metropolitana
II 94;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Subdirector/a Función Técnica;Metropolitana
II 95;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Subdirector/a Función Operaciones;Metropolitana
II 96;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Subdirector/a Función Administrativa;Metropolitana
II 97;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Jefe/a División Jurídica;Metropolitana
II 98;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Coquimbo;Coquimbo
II 99;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Valparaíso;Valparaíso
I 11;;S;I;Hacienda;Superintendencia de Casinos de Juego;;Superintendente/a;Metropolitana
II 82;;S;II;Hacienda;Superintendencia de Casinos de Juego;;Jefe/a División Fiscalización;Metropolitana
II 83;;S;II;Hacienda;Superintendencia de Casinos de Juego;;Jefe/a de División Función Jurídica;Metropolitana
II 84;;S;II;Hacienda;Superintendencia de Casinos de Juego;;Jefe/a División Autorizaciones;Metropolitana
II 679;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Tarapacá;Tarapacá
II 680;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Antofagasta;Antofagasta
II 681;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Atacama;Atacama
II 682;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Coquimbo;Coquimbo
II 683;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Valparaíso;Valparaíso
II 684;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Metropolitano;Metropolitana
II 685;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional OHiggins;OHiggins
II 686;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Maule;Maule
II 687;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional BíoBío;Bío Bío
II 688;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional La Araucanía;Araucanía
II 689;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Los Lagos;Los Lagos
II 690;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Aysén;Aysén
II 691;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
I 100;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Los Ríos;;Director/a Regional Los Ríos;Los Ríos
I 99;;S;I;Vivienda y Urbanismo;Servicio de Vivienda y Urbanismo Región Arica y Parinacota;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 652;;S;II;Hacienda;Tesorería General de la República;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 653;;S;II;Hacienda;Tesorería General de la República;;Director/a Regional Los Ríos;Los Ríos
II 654;;S;II;Hacienda;Servicio Nacional de Aduanas;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 655;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 656;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Estadística;;Director/a Regional Los Ríos;Los Ríos
II 657;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 658;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;;Director/a Regional Los Ríos;Los Ríos
II 659;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 660;;S;II;Economía, Fomento y Turismo;Servicio Nacional de Turismo;;Director/a Regional Los Ríos;Los Ríos
II 661;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 662;;S;II;Economía, Fomento y Turismo;Servicio Nacional del Consumidor;;Director/a Regional Los Ríos;Los Ríos
II 663;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 664;;S;II;Energía;Superintendencia de Electricidad y Combustibles;;Director/a Regional Los Ríos;Los Ríos
II 665;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 666;;S;II;Educación;Junta Nacional de Jardines Infantiles;;Director/a Regional Los Ríos;Los Ríos
II 667;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 668;;S;II;Educación;Junta Nacional de Auxilio Escolar y Becas;;Director/a Regional Los Ríos;Los Ríos
II 669;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 670;;S;II;Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;;Director/a Regional Los Ríos;Los Ríos
II 671;;S;II;Justicia y Derechos Humanos;Servicio Medico Legal;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 672;;S;II;Justicia y Derechos Humanos;Servicio Medico Legal;;Director/a Regional Los Ríos;Los Ríos
II 673;;S;II;Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 674;;S;II;Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;;Director/a Regional Los Ríos;Los Ríos
II 675;;S;II;Agricultura;Instituto de Desarrollo Agropecuario;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 676;;S;II;Agricultura;Instituto de Desarrollo Agropecuario;;Director/a Regional Los Ríos;Los Ríos
II 677;;S;II;Agricultura;Servicio Agrícola y Ganadero;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 678;;S;II;Agricultura;Servicio Agrícola y Ganadero;;Director/a Regional Los Ríos;Los Ríos
II 692;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 693;;S;II;Deporte;Instituto Nacional de Deportes;;Director/a Regional Los Ríos;Los Ríos
I 101;;S;I;Salud;Servicio de Salud Chiloé;;Director/a Servicio de Salud;Los Lagos
I 102;;S;I;Economía, Fomento y Turismo;Instituto Nacional de Propiedad Industrial;;Director/a Nacional;Metropolitana
II 309;;S;II;Trabajo y Previsión Social;Superintendencia de Pensiones;;Intendente/a de Regulación de Prestadores Públicos y Privados;Metropolitana
II 310;;S;II;Trabajo y Previsión Social;Superintendencia de Pensiones;;Intendente/a de Fiscalización de Prestadores Públicos y Privados;Metropolitana
II 375;;S;II;Salud;Servicio de Salud Antofagasta;;Director/a Atención Primaria;Antofagasta
II 405;;S;II;Salud;Servicio de Salud Viña del Mar - Quillota;;Director/a Atención Primaria;Valparaíso
II 448;;S;II;Salud;Servicio de Salud Metropolitano Central;;Director/a Atención Primaria;Metropolitana
II 459;;S;II;Salud;Servicio de Salud Metropolitano Occidente;;Director/a Atención Primaria;Metropolitana
II 471;;S;II;Salud;Servicio de Salud Metropolitano Sur;;Director/a Atención Primaria;Metropolitana
II 492;;S;II;Salud;Servicio de Salud O'Higgins;;Director/a Atención Primaria;OHiggins
II 511;;S;II;Salud;Servicio de Salud Ñuble;;Director/a Atención Primaria;Ñuble
II 534;;S;II;Salud;Servicio de Salud Arauco;;Director/a Atención Primaria;Bío Bío
II 540;;S;II;Salud;Servicio de Salud Araucanía Norte;;Director/a Atención Primaria;Araucanía
II 551;;S;II;Salud;Servicio de Salud Araucanía Sur;;Director/a Atención Primaria;Araucanía
II 567;;S;II;Salud;Servicio de Salud Osorno;;Director/a Atención Primaria;Los Lagos
II 576;;S;II;Salud;Servicio de Salud Reloncaví;;Director/a Atención Primaria;Los Lagos
II 577;;S;II;Salud;Servicio de Salud Chiloé;;Director/a Hospital de Castro;Los Lagos
II 578;;S;II;Salud;Servicio de Salud Chiloé;;Director/a Hospital de Ancud;Los Lagos
II 695;;S;II;Salud;Servicio de Salud Chiloé;;Subdirector/a Médico/a Servicio de Salud;Los Lagos
II 696;;S;II;Salud;Servicio de Salud Chiloé;;Subdirector/a Administrativo/a Servicio de Salud;Los Lagos
II 697;;S;II;Salud;Servicio de Salud Chiloé;;Jefe/a Departamento Auditoría;Los Lagos
II 698;;S;II;Salud;Servicio de Salud Chiloé;;Director/a Hospital de Quellón;Los Lagos
II 699;;S;II;Salud;Servicio de Salud Chiloé;;Subdirector/a Médico/a Hospital de Ancud;Los Lagos
II 700;;S;II;Salud;Servicio de Salud Chiloé;;Subdirector/a Médico/a Hospital de Castro;Los Lagos
II 701;;S;II;Salud;Servicio de Salud Arica;;Director/a Atención Primaria;Arica y Parinacota
II 702;;S;II;Salud;Servicio de Salud Iquique;;Subdirector/a Médico/a Hospital Hospital Dr. Ernesto Torres Galdames de Iquique;Tarapacá
II 703;;S;II;Salud;Servicio de Salud Iquique;;Director/a Hospital Comunitario de Salud Familiar Dr. Héctor Reyno Gutiérrez;Tarapacá
II 704;;S;II;Salud;Servicio de Salud Atacama;;Subdirector/a Médico/a Hospital Provincial del Huasco;Atacama
II 705;;S;II;Salud;Servicio de Salud Coquimbo;;Subdirector/a Médico/a Hospital La Serena;Coquimbo
II 706;;S;II;Salud;Servicio de Salud Coquimbo;;Subdirector/a Médico/a Hospital San Pablo de Coquimbo;Coquimbo
II 707;;S;II;Salud;Servicio de Salud Aconcagua;;Director/a Atención Primaria;Valparaíso
II 708;;S;II;Salud;Servicio de Salud Aconcagua;;Subdirector/a Médico/a Hospital San Juan de Dios de Los Andes;Valparaíso
II 709;;S;II;Salud;Servicio de Salud Aconcagua;;Subdirector/a Médico/a Hospital San Camilo de San Felipe;Valparaíso
II 710;;S;II;Salud;Servicio de Salud Viña del Mar - Quillota;;Subdirector/a Médico/a Hospital Quillota;Valparaíso
II 711;;S;II;Salud;Servicio de Salud Valparaíso - San Antonio;;Director/a Atención Primaria;Valparaíso
II 714;;S;II;Salud;Servicio de Salud Metropolitano Norte;;Director/a Atención Primaria;Metropolitana
II 715;;S;II;Salud;Servicio de Salud Metropolitano Norte;;Subdirector/a Médico/a Hospital San José;Metropolitana
II 716;;S;II;Salud;Servicio de Salud Metropolitano Norte;;Subdirector/a Médico/a Hospital Roberto del Río;Metropolitana
II 717;;S;II;Salud;Servicio de Salud Metropolitano Norte;;Subdirector/a Médico/a Instituto Psiquiátrico Dr. José Horwitz Barak;Metropolitana
II 718;;S;II;Salud;Servicio de Salud Metropolitano Occidente;;Subdirector/a Médico Hospital de Melipilla;Metropolitana
II 719;;S;II;Salud;Servicio de Salud Metropolitano Occidente;;Subdirector/a Médico Hospital de Peñaflor;Metropolitana
II 720;;S;II;Salud;Servicio de Salud Metropolitano Oriente;;Subdirector/a Médico/a Hospital Luis Calvo Mackenna;Metropolitana
II 721;;S;II;Salud;Servicio de Salud Metropolitano Oriente;;Subdirector/a Médico/a Hospital Instituto de Neurocirugía;Metropolitana
II 722;;S;II;Salud;Servicio de Salud Metropolitano Oriente;;Subdirector/a Médico/a Hospital Instituto Nacional del Tórax;Metropolitana
II 723;;S;II;Salud;Servicio de Salud Metropolitano Suroriente;;Director/a Atención Primaria;Metropolitana
II 724;;S;II;Salud;Servicio de Salud Maule;;Subdirector/a Médico/a Hospital de Linares;Maule
II 725;;S;II;Salud;Servicio de Salud Concepción;;Director/a Atención Primaria;Bío Bío
II 726;;S;II;Salud;Servicio de Salud Bío - Bío;;Director/a Atención Primaria;Bío Bío
II 727;;S;II;Salud;Servicio de Salud Bío - Bío;;Subdirector/a Médico/a Hospital Dr. Victor Ríos de los Ángeles;Bío Bío
II 728;;S;II;Salud;Servicio de Salud Talcahuano;;Director/a Atención Primaria;Bío Bío
II 729;;S;II;Salud;Servicio de Salud O'Higgins;;Subdirector/a Médico/a Hospital de San Fernando;OHiggins
II 730;;S;II;Salud;Servicio de Salud Aysén;;Director/a Atención Primaria;Aysén
II 731;;S;II;Salud;Servicio de Salud Magallanes;;Subdirector/a Médico/a Hospital Regional de Punta Arenas Dr. Lautaro Navarro Avaria;Magallanes
II 732;;S;II;Trabajo y Previsión Social;Superintendencia de Pensiones;;Jefe/a de División, Función: Estudios;Metropolitana
II 733;;S;II;Trabajo y Previsión Social;Superintendencia de Pensiones;;Jefe/a División Financiera;Metropolitana
II 734;;S;II;Trabajo y Previsión Social;Superintendencia de Pensiones;;Jefe/a División Control de Instituciones;Metropolitana
II 735;;S;II;Trabajo y Previsión Social;Superintendencia de Pensiones;;Jefe/a de División de Administración Interna;Metropolitana
II 736;;S;II;Trabajo y Previsión Social;Superintendencia de Pensiones;;Jefe/a División Desarrollo Estratégico y Administración;Metropolitana
II 737;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Propiedad Industrial;;Subdirector/a de Marcas;Metropolitana
II 738;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Propiedad Industrial;;Subdirector/a de Patentes;Metropolitana
II 739;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Propiedad Industrial;;Subdirector/a Función Jurídico;Metropolitana
II 740;;S;II;Economía, Fomento y Turismo;Instituto Nacional de Propiedad Industrial;;Jefe/a División Administrativa;Metropolitana
II 741;;S;II;Salud;Servicio de Salud Maule;;Director/a Hospital de Constitución;Maule
II 742;;S;II;Salud;Servicio de Salud Talcahuano;;Director/a Hospital Tomé;Bío Bío
II 743;;S;II;Salud;Servicio de Salud Metropolitano Oriente;;Director/a Hospital Dr. Luis Tisné Brousse;Metropolitana
II 744;;S;II;Salud;Servicio de Salud Metropolitano Occidente;;Subdirector/a Médico Hospital de Talagante;Metropolitana
II 745;;S;II;Salud;Servicio de Salud Metropolitano Occidente;;Subdirector/a Médico Instituto Traumatológico;Metropolitana
N 1;;N;I;Otros Organismos;Consejo para la Transparencia;;Director/a General;Metropolitana
N 2;;N;I;Otros Organismos;Consejo para la Transparencia;;Director/a de Desarrollo;Metropolitana
N 3;;N;I;Otros Organismos;Consejo para la Transparencia;;Director/a Jurídico;Metropolitana
N 4;;N;I;Otros Organismos;Consejo para la Transparencia;;Director/a de Administración y Finanzas;Metropolitana
N 5;;N;I;Otros Organismos;Consejo para la Transparencia;;Director/a de Promoción, Formación y - Consejo para la Transparencia;Metropolitana
N 60;;N;I;Otros Organismos;Consejo para la Transparencia;;Director/a de Fiscalización;Metropolitana
I 103;;S;I;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Nacional;Metropolitana
I 104;;S;I;Trabajo y Previsión Social;Instituto de Seguridad Laboral;;Director/a Nacional;Metropolitana
I 105;;N;I;Otros Organismos;Servicio Electoral;;Director/a Servicio Electoral - SERVEL;Metropolitana
I 106;;S;I;Energía;Comisión Nacional de Energía;;Secretario/a Ejecutivo/a;Metropolitana
I 13;;S;I;Economía, Fomento y Turismo;Fiscalía Nacional Económica;;Fiscal Nacional Económico;Metropolitana
I 134;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región Valparaíso;Valparaíso
I 135;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región Los Lagos;Los Lagos
I 136;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región de Arica y Parinacota;Arica y Parinacota
I 137;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región de Antofagasta;Antofagasta
I 138;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región de Bío-Bío;Bío Bío
I 139;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región de Araucanía;Araucanía
I 141;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región Tarapacá;Tarapacá
I 142;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región Coquimbo;Coquimbo
I 143;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región Los Ríos;Los Ríos
I 144;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región Magallanes y Antártica Chilena;Magallanes
I 145;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Unidad de Auditoria Interna;Metropolitana
I 169;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional Región de Atacama;Atacama
I 170;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región del Maule;Maule
I 171;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional, Región Metropolitana;Metropolitana
I 172;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional Región de Aysen;Aysén
I 178;;N;I;Otros Organismos;Instituto Nacional de Derechos Humanos;;Jefe/a Regional Región Ohiggins;OHiggins
II 264;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a Departamento de Personas;Metropolitana
II 267;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a División Función Jurídica;Metropolitana
II 268;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a División Informática;Metropolitana
II 269;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a Departamento Gestión de Beneficios;Metropolitana
II 273;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a Departamento Auditoría Interna;Metropolitana
II 280;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Tarapacá;Tarapacá
II 281;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Antofagasta;Antofagasta
II 282;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Atacama;Atacama
II 283;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Coquimbo;Coquimbo
II 288;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Aysén;Aysén
II 746;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Subdirector/a de Sistemas de Información y de Administración;Metropolitana
II 747;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Metropolitano;Metropolitana
II 748;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Valparaíso;Valparaíso
II 749;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional BíoBío;Bío Bío
II 750;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional OHiggins;OHiggins
II 751;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Maule;Maule
II 752;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional La Araucanía;Araucanía
II 753;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Los Lagos;Los Lagos
II 754;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 755;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 756;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Director/a Regional Los Ríos;Los Ríos
II 757;;S;II;Trabajo y Previsión Social;Instituto de Seguridad Laboral;;Jefe/a División Función Operaciones;Metropolitana
II 758;;S;II;Trabajo y Previsión Social;Instituto de Seguridad Laboral;;Jefe/a División Función: Finanzas y Administración;Metropolitana
II 759;;S;II;Trabajo y Previsión Social;Instituto de Seguridad Laboral;;Jefe/a Departamento Jurídico;Metropolitana
II 760;;S;II;Trabajo y Previsión Social;Instituto de Seguridad Laboral;;Jefe/a Departamento Clientes y Entornos;Metropolitana
II 761;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Subdirector/a de Servicios al Cliente;Metropolitana
II 762;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a División Canales de Atención a Clientes;Metropolitana
II 763;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a División Función: Beneficios;Metropolitana
II 765;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a Departamento Gestión de Pagos;Metropolitana
II 766;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a Departamento Gestión de Información Previsional;Metropolitana
II 767;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a Departamento Función Atención Presencial;Metropolitana
II 768;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a Departamento Desarrollo y Control;Metropolitana
II 769;;N;II;Otros Organismos;Servicio Electoral;;Subdirector/a de Control de Gasto y Financiamiento Electoral;Metropolitana
II 770;;N;II;Otros Organismos;Servicio Electoral;;Jefe/a División Función: Gestión Interna;Metropolitana
II 771;;N;II;Otros Organismos;Servicio Electoral;;Jefe/a División Función: Registros y Padrón Electoral;Metropolitana
II 772;;N;II;Otros Organismos;Servicio Electoral;;Jefe/a División Desarrollo de Personas;Metropolitana
II 773;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Arica y Parinacota;Arica y Parinacota
II 774;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Tarapacá;Tarapacá
II 775;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Antofagasta;Antofagasta
II 776;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Atacama;Atacama
II 777;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Coquimbo;Coquimbo
II 778;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Valparaíso;Valparaíso
II 779;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Metropolitano;Metropolitana
II 780;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional OHiggins;OHiggins
II 781;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Maule;Maule
II 782;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional BíoBío;Bío Bío
II 783;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional La Araucanía;Araucanía
II 784;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Los Ríos;Los Ríos
II 785;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Los Lagos;Los Lagos
II 786;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Aysén;Aysén
II 787;;N;II;Otros Organismos;Servicio Electoral;;Director/a Regional Magallanes y la Antártica Chilena;Magallanes
II 788;;S;II;Energía;Comisión Nacional de Energía;;Jefe/a Departamento Función Jurídico;Metropolitana
II 789;;S;II;Energía;Comisión Nacional de Energía;;Jefe/a Departamento Función Eléctrico;Metropolitana
II 790;;S;II;Energía;Comisión Nacional de Energía;;Jefe/a Departamento Función Hidrocarburos;Metropolitana
II 894;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;Jefe/a División de Planificación y Desarrollo;Metropolitana
II 970;;S;II;Trabajo y Previsión Social;Instituto de Previsión Social;;FC;Metropolitana
N 10;;N;I;Tribunales Aduaneros y Tributarios;Tribunal Tributario Aduanero Región Tarapacá;;Secretario/a Abogado/a Tributario/a Región Tarapacá;Tarapacá
N 12;;N;I;Tribunales Aduaneros y Tributarios;Tribunal Tributario Aduanero Región Antofagasta;;Juez/a Tributario/a y Aduanero/a Región Antofagasta;Antofagasta
N 13;;N;I;Otros Organismos;Tribunal Tributario Aduanero Región Antofagasta;;Secretario/a Abogado/a Región Antofagasta;Antofagasta
N 14;;N;I;Tribunales Aduaneros y Tributarios;Tribunal Tributario Aduanero Región Atacama;;Juez/a Tributario/a y Aduanero/a Región Atacama;Atacama
N 15;;N;I;Otros Organismos;Tribunal Tributario Aduanero Región Atacama;;Secretario/a Abogado/a Región Atacama;Atacama
N 16;;N;I;Tribunales Aduaneros y Tributarios;Tribunal Tributario Aduanero Región Coquimbo;;Juez/a Tributario y Aduanero Tribunal Tributario y Aduanero Región de Coquimbo;Coquimbo
N 17;;N;I;Tribunales Aduaneros y Tributarios;Tribunal Tributario Aduanero Región Coquimbo;;Secretario/a Abogado Tribunal Tributario y Aduanero Región de Coquimbo;Coquimbo
N 18;;N;I;Tribunales Aduaneros y Tributarios;Tribunal Tributario Aduanero Región Valparaíso;;Juez/a Tributario/a y Aduanero/a Región Valparaíso;Valparaíso
N 21;;N;I;Tribunales Aduaneros y Tributarios;Tribunal Tributario Aduanero Región O'Higgins;;Juez/a Tributario/a y Aduanero/a Región OHiggins;OHiggins
