Nivel;Adscrito;Ministerio;Servicio;Nombre Cargo;Mes envío nómina;Año Envío Nómina;Fecha Envío Nómina
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Jefe/a División Función Administración y Finanzas;nov;2012;26-11-2012
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Director/a Regional Tesorero/a Región Metropolitana;dic;2012;24-12-2012
Nivel II;Adscrito;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;Jefe/a División Función Personal;dic;2012;28-12-2012
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;Director/a Regional Arica y Parinacota;oct;2012;26-10-2012
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Superintendencia de Pensiones;Intendente/a de Fiscalización de Prestadores Públicos y Privados;oct;2012;26-10-2012
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Jefe/a División Evaluación Ambiental y Participación Ciudadana;nov;2012;05-11-2012
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Jefe/a Departamento Capacitación a Personas;nov;2012;21-11-2012
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Regional Aysén;nov;2012;15-11-2012
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Jefe/a División Función Territorial;oct;2012;23-10-2012
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;Subdirector/a Administrativo/a Hospital del Salvador;nov;2012;08-11-2012
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Norte;Director/a Instituto Nacional del cáncer;dic;2012;28-12-2012
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Regional Araucanía;dic;2012;03-12-2012
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Regional Atacama;oct;2012;29-10-2012
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a de Hospital Base San José de Osorno;oct;2012;31-10-2012
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Subdirector/a Administrativo/a Servicio de Salud;oct;2012;31-10-2012
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Antofagasta;dic;2012;05-12-2012
Nivel II;Adscrito;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;Director/a Regional Aysén;dic;2012;07-12-2012
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Subdirector/a Administrativo/a Servicio de Salud;dic;2012;28-12-2012
Nivel II;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Jefe/a Departamento Tecnologías de la Información;nov;2012;30-11-2012
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Aysén;dic;2012;13-12-2012
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Regional Arica y Parinacota;dic;2012;13-12-2012
Nivel II;Adscrito;Ministerio de Energía;Superintendencia de Electricidad y Combustibles;Director/a Regional Araucanía;dic;2012;28-12-2012
Nivel II;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;Director/a Regional Arica y Parinacota;nov;2012;26-11-2012
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Atención Primaria;dic;2012;28-12-2012
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a de Atención Primaria;dic;2012;20-12-2012
Nivel I;No Adscrito;Ministerio de Transportes y Telecomunicaciones;Panel de Expertos Ministerio Transportes y Telecomunicaciones;Integrante Panel de Expertos;ene;2012;03-01-2012
Nivel I;No Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Consejero/a;abr;2012;18-04-2012
Nivel I;No Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Consejera/a;abr;2012;18-04-2012
Nivel I;No Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Consejero/a Reconocido Prestigio Educación Parvularia;abr;2012;18-04-2012
Nivel I;No Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Consejera/a;abr;2012;18-04-2012
Nivel I;No Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Consejero/a;abr;2012;18-04-2012
Nivel I;No Adscrito;Ministerio de Hacienda;Subsecretaria de Hacienda;Jefe/a de la Unidad Administradora de los Tribunales Tributario/as y Aduanero/as;may;2012;30-05-2012
Nivel I;No Adscrito;Otros Organismos;Tercer Tribunal Tributario Aduanero Región Metropolitana;Juez/a Tributario/a y Aduanero/a Tercer Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Tercer Tribunal Tributario Aduanero Región Metropolitana;Secretario/a Abogado/a Tercer Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Tribunal Tributario Aduanero Región Valparaíso;Juez/a Tributario/a y Aduanero/a Región Valparaíso;oct;2012;24-10-2012
Nivel I;No Adscrito;Ministerio de Hacienda;Subsecretaria de Hacienda;Secretario/a Abogado/a Aduanero/a Región Valparaíso;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Tribunal Tributario Aduanero Región OHiggins;Juez/a Tributario/a y Aduanero/a Región OHiggins;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Tribunal Tributario Aduanero Región OHiggins;Secretario/a Abogado/a Region OHiggins;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Primer Tribunal Tributario Aduanero Región Metropolitana;Juez/a Tributario/a y Aduanero/a Primer Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Primer Tribunal Tributario Aduanero Región Metropolitana;Secretario/a Abogado/a Tributario/a Primer Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Segundo Tribunal Tributario Aduanero Región Metropolitana;Juez/a Tributario/a y Aduanero/a Segundo Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Segundo Tribunal Tributario Aduanero Región Metropolitana;Secretario/a Abogado/a Segundo Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Ministerio de Hacienda;Subsecretaria de Hacienda;Juez/a Tributario/a Cuarto Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Cuarto Tribunal Tributario Aduanero Región Metropolitana;Secretario/a Abogado/a Cuarto Tribunal Metropolitano;oct;2012;24-10-2012
Nivel I;No Adscrito;Otros Organismos;Segundo Tribunal Ambiental;Ministro/a Titular Abogado;nov;2012;09-11-2012
Nivel I;No Adscrito;Otros Organismos;Segundo Tribunal Ambiental;Ministro/a Abogado/a Titular;nov;2012;09-11-2012
Nivel I;No Adscrito;Otros Organismos;Segundo Tribunal Ambiental;Ministro/a Titular Licenciado en Ciencias;nov;2012;09-11-2012
Nivel I;No Adscrito;Otros Organismos;Segundo Tribunal Ambiental;Ministro/a Suplente Abogado;nov;2012;09-11-2012
Nivel I;No Adscrito;Otros Organismos;Segundo Tribunal Ambiental;Ministro/a Suplente Licenciado en Ciencias;nov;2012;09-11-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Pitrufquén;Jefe/a Departamento de Administración de Educación Municipal;feb;2012;03-02-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Mejillones;Jefe/a del Departamento de Educación Municipal de Mejillones;feb;2012;01-02-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Santa Cruz;Director/a del Departamento de Administración de Educación;ene;2012;31-01-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Coquimbo;Jefe de Departamento de Administración de Educación Municipal de Coquimbo;ene;2012;17-01-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Arauco;Jefe/a Departamento de Administración de Educación Municipal;ene;2012;31-01-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Quinta de Tilcoco;Jefe/a Departamento de Administración de Educación Municipal;may;2012;18-05-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Linares;Jefe/a Departamento de Administración de Educación Municipal;ene;2012;25-01-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Curacaví;Director/a del Departamento de Administración de Educación;ene;2012;31-01-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Machalí;Jefe/a Departamento de Administración de Educación Municipal;ene;2012;31-01-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Maullín;Jefe/a Departamento de Administración de Educación Municipal;dic;2012;05-12-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Rio Negro;Jefe/a de Departamento de Administración de Educación Municipal de Rio Negro;nov;2012;21-11-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Hijuelas;Jefe/a Departamento de Administración de Educación Municipal;jul;2012;24-07-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Futrono;Jefe/a de Departamento de Administración de Educación Municipal de Futrono;jul;2012;13-07-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Las Cabras;Director/a del Departamento de Educación Municipal de Las Cabras;nov;2012;12-11-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Mulchén;Jefe/a Departamento de Administración de Educación Municipal;jun;2012;29-06-2012
Nivel II;No Adscrito;Administración local;Municipalidad de La Granja;Jefe/a de Departamento de Administración de Educación Municipal de la Granja;sep;2012;10-09-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Villarrica;Jefe/a de Departamento de Administración de Educación Municipal de Villarrica;jun;2012;29-06-2012
Nivel II;No Adscrito;Otros Organismos;Servicio Electoral;Director/a Regional Valparaíso;jun;2012;28-06-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Coyhaique;Jefe/a de Departamento de Administración de Educación Municipal de Coyhaique;ago;2012;02-08-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Parral;Jefe/a de Departamento de Administración de Educación Municipal de Parral;nov;2012;05-11-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Rengo;Jefe/a de Departamento de Administración de Educación Municipal de Rengo;jun;2012;29-06-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Curepto;Jefe/a de Departamento de Administración de Educación Municipal de Curepto;jul;2012;27-07-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Peralillo;Jefe/a de Departamento de Administración de Educación Municipal de Peralillo;jul;2012;03-07-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Lumaco;Director/a del Departamento de Educación Municipal;dic;2012;05-12-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Quilleco;Jefe/a Departamento de Administración de Educación Municipal;sep;2012;12-09-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Canela;Jefe/a Departamento de Administración de Educación Municipal de Canela;ago;2012;09-08-2012
Nivel II;No Adscrito;Administración local;Municipalidad de El Monte;Jefe/a Departamento de Administración de Educación Municipal de El Monte;sep;2012;25-09-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Salamanca;Jefe/a Departamento de Administración de Educación Municipal de Salamanca;nov;2012;12-11-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Curicó;Jefe/a Departamento de Administración de Educación Municipal de Curicó;sep;2012;10-09-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Los Vilos;Jefe/a Departamento de Administración de Educación Municipal de Los Vilos;sep;2012;25-09-2012
Nivel II;No Adscrito;Administración local;Municipalidad de San Carlos;Jefe/a Departamento de Administración de Educación Municipal de San Carlos;oct;2012;02-10-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Retiro;Jefe/a Departamento de Administración de Educación Municipal de Retiro;nov;2012;12-11-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Vilcún;Jefe/a Departamento de Administración de Educación Municipal de Vilcún;nov;2012;05-11-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Purranque;Jefe/a Departamento de Administración de Educación Municipal de Purranque;nov;2012;05-11-2012
Nivel II;No Adscrito;Otros Organismos;Servicio Electoral;Jefe/a División Función: Gestión Interna;oct;2012;19-10-2012
Nivel II;No Adscrito;Administración local;Municipalidad de Lautaro;Jefe/a Departamento de Administración de Educación Municipal de Lautaro;nov;2012;29-11-2012
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Director/a Servicio de Salud;jun;2013;14-06-2013
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de la Araucanía;Director/a Regional Serviu Araucanía;jul;2013;15-07-2013
Nivel I;Adscrito;Ministerio de Educación;Agencia de Calidad de la Educación;Secretario/a Ejecutivo/a;jun;2013;07-06-2013
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección General de Aguas;Director/a;may;2013;28-05-2013
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;Director/a Regional Serviu Arica y Parinacota;sep;2013;24-09-2013
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Antofagasta;Director/a Regional Serviu Antofagasta;jul;2013;15-07-2013
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Libertador General Bernardo O'Higgins;Director/a Regional Serviu OHiggins;sep;2013;24-09-2013
Nivel I;Adscrito;Otros Organismos;Consejo para la Transparencia;Director/a Jurídico/a;mar;2013;13-03-2013
Nivel I;Adscrito;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Superintendente/a;jul;2013;02-07-2013
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Nacional;jun;2013;07-06-2013
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Director/a Servicio de Salud;ago;2013;09-08-2013
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Central;Director/a Servicio de Salud;jul;2013;24-07-2013
Nivel I;Adscrito;Ministerio del Interior y Seguridad Pública;Servicio Nacional de Prevención y Respuesta ante Desastres;Director/a;oct;2013;30-10-2013
Nivel I;Adscrito;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;Director/a Nacional;jul;2013;02-07-2013
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Director/a Nacional;jun;2013;28-06-2013
Nivel I;Adscrito;Otros Organismos;Consejo para la Transparencia;Director/a Jurídico/a;ago;2013;21-08-2013
Nivel I;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Nacional;nov;2013;07-11-2013
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Concepción;Director/a Servicio de Salud;oct;2013;02-10-2013
Nivel I;Adscrito;Ministerio de Salud;Servicio de Salud Atacama;Director/a Servicio de Salud;sep;2013;24-09-2013
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Lagos;Director/a Regional Serviu Los Lagos;sep;2013;09-09-2013
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Los Ríos;Director/a;sep;2013;09-09-2013
Nivel I;Adscrito;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región del Biobío;Director/a Regional Serviu Bío-Bío;sep;2013;09-09-2013
Nivel I;Adscrito;Ministerio de Hacienda;Servicio de Impuestos Internos;Director/a Nacional;nov;2013;22-11-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Subdirector/a Médico/a Hospital Carlos Van Buren;ago;2013;23-08-2013
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Regional Metropolitana;sep;2013;12-09-2013
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio Médico Legal;Director/a Regional Valparaíso;sep;2013;12-09-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Subdirector/a Médico/a Servicio de Salud;sep;2013;05-09-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;Subdirector/a Médico/a Servicio de Salud;nov;2013;05-11-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Valparaíso;sep;2013;12-09-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Los Lagos;sep;2013;13-09-2013
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Departamento de Calidad y Control Normativo;jun;2013;11-06-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Bdo. OHiggins;oct;2013;15-10-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Aysén;sep;2013;12-09-2013
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Jardines Infantiles;Director/a Departamento de Calidad Educativa;ene;2013;18-01-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Antofagasta;sep;2013;12-09-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Maule;oct;2013;17-10-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Bío-Bío;oct;2013;14-10-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Coquimbo;Subdirector/a Médico/a Servicio de Salud;feb;2013;26-02-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Director/a Regional Arica y Parinacota;oct;2013;11-10-2013
Nivel II;Adscrito;Ministerio de Salud;Central de Abastecimiento del Sistema Nacional de Servicios de Salud;Jefe/a Departamento Función: Técnico;ene;2013;11-01-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;Director/a Regional del Libertador General Bernardo OHiggins;jul;2013;04-07-2013
Nivel II;Adscrito;Ministerio de Educación;Junta Nacional de Auxilio Escolar y Becas;Jefe/a de Departamento de Operaciones;ene;2013;15-01-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional del Consumidor;Jefe/a División Función Consumo Financiero;ago;2013;16-08-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a División Informática;jun;2013;27-06-2013
Nivel II;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Director/a Regional Antofagasta;feb;2013;05-02-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Araucanía Sur;Subdirector/a Médico/a Hospital Dr. Hernán Henríquez Aravena;feb;2013;05-02-2013
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Atacama;jun;2013;06-06-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Subdirector/a Médico/a Servicio de Salud;jul;2013;10-07-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Subdirector/a Administrativo/a Servicio de Salud;may;2013;22-05-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Regional Tarapacá;ene;2013;24-01-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;Subdirector/a de Desarrollo;ago;2013;05-08-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Regional Los Lagos;may;2013;30-05-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Director/a Hospital Regional de Antofagasta;feb;2013;12-02-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Subdirector/a Administrativo/a Hospital San Juan de Dios;ene;2013;04-01-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Jefe/a División Función: Finanzas y Administración;ene;2013;22-01-2013
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Valparaíso;feb;2013;05-02-2013
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Metropolitano/a;feb;2013;05-02-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Jefe/a Departamento Jurídico;ene;2013;18-01-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Subdirector/a de Servicios al Cliente;jun;2013;21-06-2013
Nivel II;Adscrito;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;Director/a Regional Atacama;ene;2013;24-01-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Arica y Parinacota;ago;2013;13-08-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Tarapacá;ago;2013;13-08-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Antofagasta;ago;2013;13-08-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Atacama;ago;2013;13-08-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Coquimbo;ago;2013;13-08-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Valparaíso;jun;2013;14-06-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Metropolitano/a;jun;2013;14-06-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Libertador Bernardo OHiggins;jun;2013;14-06-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Maule;jun;2013;14-06-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Araucanía;jul;2013;12-07-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Los Ríos;jul;2013;12-07-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Los Lagos;jul;2013;12-07-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Aysén;jul;2013;12-07-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Director/a Regional Magallanes;jul;2013;12-07-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Jefe/a de División Función Administración General;mar;2013;01-03-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Jefe División de Comunicaciones y Denuncias;ene;2013;31-01-2013
Nivel II;Adscrito;Ministerio de Educación;Superintendencia de Educación;Fiscal;feb;2013;04-02-2013
Nivel II;Adscrito;Ministerio de Ciencia, Tecnología, Conocimiento e Innovación;Comisión Nacional de Investigación Científica y Tecnológica;Jefe Departamento Tecnología y Procesos;mar;2013;14-03-2013
Nivel II;Adscrito;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Jefe/a División de Fiscalización;ene;2013;15-01-2013
Nivel II;Adscrito;Ministerio de Minería;Comisión Chilena del Cobre;Director/a Función Fiscalización;ene;2013;25-01-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Los Ríos;Subdirector/a Administrativo/a Servicio de Salud;may;2013;17-05-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Arauco;Director/a Hospital de Curanilahue;ene;2013;15-01-2013
Nivel II;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Jefe/a División Función: Asistencia Financiera;ene;2013;30-01-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a Departamento Gestión de Información Previsional;ene;2013;25-01-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Antofagasta;Subdirector/a Administrativo/a Hospital Regional de Antofagasta;ago;2013;28-08-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Maule;Director/a Hospital de Cauquenes;ene;2013;16-01-2013
Nivel II;Adscrito;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;Director/a Regional Metropolitano;ene;2013;25-01-2013
Nivel II;Adscrito;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;Fiscal;ene;2013;11-01-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Aysén;Subdirector/a Administrativo/a Servicio de Salud;jun;2013;13-06-2013
Nivel II;Adscrito;Ministerio del Deporte;Instituto Nacional de Deportes de Chile;Director/a Regional OHiggins;feb;2013;05-02-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Hospital de Calera;ene;2013;29-01-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Viña del Mar-Quillota;Director/a Hospital Santo Tomás de Limache;ene;2013;24-01-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;Jefe/a División Canales de Atención a Clientes;oct;2013;16-10-2013
Nivel II;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Director/a Regional Tarapacá;feb;2013;05-02-2013
Nivel II;Adscrito;Ministerio de Vivienda y Urbanismo;Parque Metropolitano de Santiago;Jefe/a División Función: Zoológico;ene;2013;31-01-2013
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Coquimbo;jun;2013;06-06-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Subdirector/a Administrativo/a Hospital Dr. Félix Bulnes Cerda;ene;2013;25-01-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;Jefe/a Departamento Auditoría;ene;2013;24-01-2013
Nivel II;Adscrito;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;Director/a Regional Atacama;feb;2013;05-02-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Director/a Hospital Dr. Juan Hepp Dubiau de Purranque;feb;2013;01-02-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;Director/a Regional Los Lagos;jun;2013;13-06-2013
Nivel II;Adscrito;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;Director/a Regional Los Ríos;ago;2013;08-08-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Osorno;Subdirector/a Administrativo/a Servicio de Salud;feb;2013;04-02-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud Chiloé;Director/a Hospital de Quellón;feb;2013;06-02-2013
Nivel II;Adscrito;Ministerio de Agricultura;Servicio Agrícola y Ganadero;Jefe/a División Función: Recursos Naturales Renovables;mar;2013;11-03-2013
Nivel II;Adscrito;Ministerio del Trabajo y Previsión Social;Instituto de Seguridad Laboral;Jefe/a de División de Operaciones;feb;2013;01-02-2013
Nivel II;Adscrito;Ministerio de Salud;Servicio de Salud O'Higgins;Director/a Hospital de San Fernando;ene;2013;29-01-2013
