;CD_Concurso;id_cargo;Nivel;Region;Estado;SubEstado;Ministerio;Servicio;Fecha_Convocatoria;Fecha_Nomina;Fecha_Desierto;Year_Convocatoria;Year_Nomina;Year_Desierto;Desierto;Nomina;Nombrado;DesignacionDirecta;Duracion_Concurso;Fecha_Cierre_Concurso;Year_Cierre_Concurso;Cerrado;Fecha_Nombramiento;Year_Nombramiento;Periodo;Fecha_Renovacion;Costo_Concurso;FechaActualizacion
1256;2172;II 362;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Instituto de Salud Pública;2013-04-21;2013-07-02;;2013.0;2013.0;;0;1;1;0;72.0;2013-07-02;2013.0;1;2013-07-26;2013.0;1;2016-07-25;;2023-12-05 16:34:45.183
1257;2173;II 953;II;Región de  Valparaíso;Nombrado;DESVINCULADO;Administración Central;Municipalidad de Casablanca;2013-05-05;2013-08-13;;2013.0;2013.0;;0;1;1;0;93.0;2013-08-13;2013.0;1;2013-11-12;2013.0;1;;;2023-12-05 16:34:45.183
1258;2174;II 232;II;Región del Biobío;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;2013-04-21;2013-07-22;;2013.0;2013.0;;0;1;1;0;85.0;2013-07-22;2013.0;1;2013-08-13;2013.0;1;2016-08-12;;2023-12-05 16:34:45.183
1259;2175;I 1;I;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Ministerio del Interior y Seguridad Pública;Servicio Nacional de Prevención y Respuesta ante Desastres;2013-08-11;2013-10-30;;2013.0;2013.0;;0;1;1;0;73.0;2013-10-30;2013.0;1;2013-11-20;2013.0;2;2019-11-19;;2023-12-05 16:34:45.183
1260;2176;II 957;II;Región del Libertador General Bernardo OHiggins;Nombrado;FINALIZADO CON NOMBRAMIENTO;Administración Central;Municipalidad de Doñihue;2014-03-23;2014-06-10;;2014.0;2014.0;;0;1;1;0;72.0;2014-06-10;2014.0;1;2014-06-16;2014.0;1;;;2023-12-05 16:34:45.183
1261;2177;II 535;II;Región del Biobío;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Arauco;2013-04-07;2020-01-06;;2013.0;2020.0;;0;1;1;0;2397.0;2019-12-04;2019.0;1;2013-07-05;2013.0;1;2016-07-04;;2023-12-05 16:34:45.183
1262;2178;II 493;II;Región del Libertador General Bernardo OHiggins;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud O'Higgins;2013-04-28;2013-07-03;;2013.0;2013.0;;0;1;1;0;59.0;2013-07-03;2013.0;1;2013-07-18;2013.0;1;2016-07-17;;2023-12-05 16:34:45.183
1263;218;II 384;II;Región de  Atacama;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Atacama;2006-07-23;2006-10-04;;2006.0;2006.0;;0;1;1;0;73.0;2006-10-04;2006.0;1;2006-12-15;2006.0;1;2009-12-14;;2023-12-05 16:34:45.183
1264;2181;II 955;II;Región de Antofagasta;Nombrado;DESVINCULADO;Administración Central;Municipalidad de Taltal;2013-04-07;2013-06-20;;2013.0;2013.0;;0;1;1;0;67.0;2013-06-20;2013.0;1;2013-07-23;2013.0;1;;;2023-12-05 16:34:45.183
1265;2182;II 956;II;Región del Libertador General Bernardo OHiggins;Desierto;Desierto por Autoridad;Administración Central;Municipalidad de Pichilemu;2013-05-26;2013-08-05;2014-01-14;2013.0;2013.0;2014.0;1;1;1;0;64.0;2013-08-05;2013.0;1;2013-08-16;2013.0;1;;;2023-12-05 16:34:45.183
1266;2183;I 37;I;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio de Obras Públicas;Dirección de Obras Hidráulicas;2013-04-21;2013-07-02;2013-11-26;2013.0;2013.0;2013.0;1;1;0;0;65.0;2013-07-02;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1267;2184;II 295;II;Región de Antofagasta;Nombrado;Desvinculado;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;2013-04-14;2013-07-10;;2013.0;2013.0;;0;1;1;0;80.0;2013-07-10;2013.0;1;2013-07-19;2013.0;1;2016-07-18;;2023-12-05 16:34:45.183
1268;2185;II 827;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio del Medio Ambiente;Superintendencia del Medio Ambiente;2013-07-28;2013-10-22;;2013.0;2013.0;;0;1;1;0;79.0;2013-10-22;2013.0;1;2013-11-08;2013.0;1;2016-11-07;;2023-12-05 16:34:45.183
1269;2186;II 24;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio del Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;2013-04-14;2013-07-12;;2013.0;2013.0;;0;1;1;0;82.0;2013-07-12;2013.0;1;2013-07-25;2013.0;1;2016-07-24;;2023-12-05 16:34:45.183
1270;2187;II 173;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio de Desarrollo Social y Familia;Fondo de Solidaridad e Inversión Social;2013-05-05;2013-08-06;2013-09-09;2013.0;2013.0;2013.0;1;1;0;0;86.0;2013-08-06;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1271;2188;II 767;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2013-07-14;2013-10-01;;2013.0;2013.0;;0;1;1;0;72.0;2013-10-01;2013.0;1;2013-11-12;2013.0;1;2016-11-11;;2023-12-05 16:34:45.183
1272;2189;II 768;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio del Trabajo y Previsión Social;Instituto de Previsión Social;2013-05-19;2013-08-14;2013-12-09;2013.0;2013.0;2013.0;1;1;0;0;80.0;2013-08-14;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1273;219;II 625;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2006-07-16;2006-09-28;;2006.0;2006.0;;0;1;1;0;74.0;2006-09-28;2006.0;1;2006-12-27;2006.0;2;2012-12-25;;2023-12-05 16:34:45.183
1274;2190;II 238;II;Región del Maule;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;2013-04-21;2013-07-22;;2013.0;2013.0;;0;1;1;0;85.0;2013-07-22;2013.0;1;2013-12-23;2013.0;1;2016-12-22;;2023-12-05 16:34:45.183
1275;2191;II 86;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Hacienda;Unidad de Análisis Financiero;2013-03-17;2013-06-03;;2013.0;2013.0;;0;1;1;0;78.0;2013-06-03;2013.0;1;2013-06-25;2013.0;2;2019-06-24;;2023-12-05 16:34:45.183
1276;2192;II 27;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio del Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;2013-04-14;2013-07-12;;2013.0;2013.0;;0;1;1;0;82.0;2013-07-12;2013.0;1;2013-09-03;2013.0;1;2016-09-02;;2023-12-05 16:34:45.183
1277;2193;II 87;II;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Ministerio de Hacienda;Unidad de Análisis Financiero;2013-03-31;2013-06-21;;2013.0;2013.0;;0;1;1;0;82.0;2013-06-21;2013.0;1;2013-07-08;2013.0;2;2019-07-07;;2023-12-05 16:34:45.183
1278;2194;II 231;II;Región de  Valparaíso;Desierto;Desierto por Autoridad;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;2013-06-02;2013-09-03;2014-01-07;2013.0;2013.0;2014.0;1;1;0;0;86.0;2013-09-03;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1279;2195;II 233;II;Región de Tarapacá;Nombrado;Desvinculado;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;2013-06-02;2013-09-03;;2013.0;2013.0;;0;1;1;0;86.0;2013-09-03;2013.0;1;2013-11-20;2013.0;1;2016-11-19;;2023-12-05 16:34:45.183
1280;2196;II 512;II;Región del Ñuble;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Ñuble;2013-05-05;2013-07-17;;2013.0;2013.0;;0;1;1;0;66.0;2013-07-17;2013.0;1;2013-07-30;2013.0;1;2016-07-29;;2023-12-05 16:34:45.183
1281;2197;II 958;II;Región de  Atacama;Nombrado;FINALIZADO CON NOMBRAMIENTO;Administración Central;Municipalidad de Huasco;2015-06-14;2015-08-24;;2015.0;2015.0;;0;1;1;0;71.0;2015-08-24;2015.0;1;2015-09-02;2015.0;1;;;2023-12-05 16:34:45.183
1282;2198;II 959;II;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Administración Central;Municipalidad de Estación Central;2013-05-19;2013-07-25;;2013.0;2013.0;;0;1;1;0;60.0;2013-07-25;2013.0;1;2013-08-21;2013.0;1;;;2023-12-05 16:34:45.183
1283;2199;II 641;II;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Ministerio de Energía;Comisión Chilena de Energía Nuclear;2013-03-31;2013-06-21;;2013.0;2013.0;;0;1;1;0;75.0;2013-06-21;2013.0;1;2013-07-18;2013.0;2;2019-07-17;;2023-12-05 16:34:45.183
1284;22;I 53;I;Región de  Coquimbo;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Coquimbo;2006-07-30;2006-10-23;;2006.0;2006.0;;0;1;1;0;85.0;2006-10-23;2006.0;1;2006-11-14;2006.0;2;2012-11-12;;2023-12-05 16:34:45.183
1285;220;II 677;II;Región de Arica y Parinacota;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2006-08-13;2006-12-15;;2006.0;2006.0;;0;1;1;0;124.0;2006-12-15;2006.0;1;2007-01-04;2007.0;2;2013-01-02;;2023-12-05 16:34:45.183
1286;2200;I 16;I;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Turismo;2013-04-07;2013-06-28;;2013.0;2013.0;;0;1;1;0;75.0;2013-06-28;2013.0;1;2013-08-12;2013.0;1;2016-08-11;;2023-12-05 16:34:45.183
1287;2201;II 98;II;Región de  Coquimbo;Nombrado;Desvinculado;Ministerio de Economía, Fomento y Turismo;Instituto Nacional de Estadísticas;2013-04-07;2013-07-04;;2013.0;2013.0;;0;1;1;0;81.0;2013-07-04;2013.0;1;2013-08-05;2013.0;1;2016-08-04;;2023-12-05 16:34:45.183
1288;2202;II 807;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Economía, Fomento y Turismo;Servicio Nacional de Pesca y Acuicultura;2013-03-31;2013-07-12;;2013.0;2013.0;;0;1;1;0;96.0;2013-07-12;2013.0;1;2013-08-13;2013.0;2;2019-08-12;;2023-12-05 16:34:45.183
1289;2203;II 44;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;2013-03-31;2013-06-14;;2013.0;2013.0;;0;1;1;0;68.0;2013-06-14;2013.0;1;2013-07-10;2013.0;2;2019-07-09;;2023-12-05 16:34:45.183
1290;2204;II 814;II;Región de Antofagasta;Nombrado;Desvinculado;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;2013-06-23;2013-09-05;;2013.0;2013.0;;0;1;1;0;74.0;2013-09-05;2013.0;1;2013-09-09;2013.0;1;2016-09-08;;2023-12-05 16:34:45.183
1291;2205;II 804;II;Región de Los Lagos;Nombrado;Desvinculado;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;2013-05-12;2013-08-14;;2013.0;2013.0;;0;1;1;0;87.0;2013-08-14;2013.0;1;2013-09-02;2013.0;1;2016-09-01;;2023-12-05 16:34:45.183
1292;2206;II 794;II;Región de Antofagasta;Nombrado;Desvinculado;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;2013-05-12;2013-08-14;;2013.0;2013.0;;0;1;1;0;87.0;2013-08-14;2013.0;1;2013-10-02;2013.0;1;2016-10-01;;2023-12-05 16:34:45.183
1293;2207;II 960;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Administración Central;Municipalidad de Cerrillos;2013-04-14;2013-07-01;;2013.0;2013.0;;0;1;1;0;71.0;2013-07-01;2013.0;1;2013-07-22;2013.0;1;;;2023-12-05 16:34:45.183
1294;2208;II 460;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Metropolitano Occidente;2013-05-26;2013-07-25;;2013.0;2013.0;;0;1;1;0;53.0;2013-07-25;2013.0;1;2013-08-07;2013.0;1;2016-08-06;;2023-12-05 16:34:45.183
1295;2209;II 513;II;Región del Biobío;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Concepción;2013-04-21;2013-07-04;2014-05-07;2013.0;2013.0;2014.0;1;1;0;0;67.0;2013-07-04;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1296;221;II 628;II;Región de  Atacama;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2006-08-13;2006-12-15;;2006.0;2006.0;;0;1;1;0;124.0;2006-12-15;2006.0;1;2007-01-04;2007.0;2;2013-01-02;;2023-12-05 16:34:45.183
1297;2210;II 10;II;Región de Metropolitana de Santiago;Nombrado;Nombrado;Ministerio de Defensa Nacional;Caja de Previsión de la Defensa Nacional;2013-04-21;2013-07-15;;2013.0;2013.0;;0;1;1;0;85.0;2013-07-15;2013.0;1;2013-08-09;2013.0;2;2019-08-08;;2023-12-05 16:34:45.183
1298;2211;II 798;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Desarrollo Social y Familia;Servicio Nacional de la Discapacidad;2013-05-12;2013-08-13;;2013.0;2013.0;;0;1;1;0;86.0;2013-08-13;2013.0;1;2013-08-26;2013.0;1;2016-08-25;;2023-12-05 16:34:45.183
1299;2212;II 902;II;Región de Metropolitana de Santiago;Desierto;Desierto en Entrevistas;Ministerio de Educación;Superintendencia de Educación;2013-06-09;;;2013.0;;;1;0;0;0;;2013-09-05;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1300;2213;II 569;II;Región de Los Lagos;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Osorno;2013-04-14;2013-06-18;2013-07-19;2013.0;2013.0;2013.0;1;1;0;0;58.0;2013-06-18;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1301;2214;II 498;II;Región del Maule;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Maule;2013-03-31;2013-06-05;;2013.0;2013.0;;0;1;1;0;59.0;2013-06-05;2013.0;1;2013-06-24;2013.0;1;2016-06-23;;2023-12-05 16:34:45.183
1302;2215;II 600;II;Región de Metropolitana de Santiago;Desierto;Desierto en Entrevistas;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;2013-04-21;;;2013.0;;;1;0;0;0;;2013-07-23;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1303;2216;II 938;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Hacienda;Subsecretaria de Hacienda;2013-06-09;2013-09-09;;2013.0;2013.0;;0;1;1;0;85.0;2013-09-09;2013.0;1;2013-10-17;2013.0;1;2016-10-16;;2023-12-05 16:34:45.183
1304;2217;II 563;II;Región de Los Lagos;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Osorno;2013-05-19;2013-07-25;;2013.0;2013.0;;0;1;1;0;60.0;2013-07-25;2013.0;1;2013-08-12;2013.0;2;2019-08-11;;2023-12-05 16:34:45.183
1305;2218;II 863;II;Región del Maule;Nombrado;FINALIZADO CON NOMBRAMIENTO;Administración Central;Municipalidad de Linares;2014-10-26;2015-01-02;;2014.0;2015.0;;0;1;1;0;68.0;2015-01-02;2015.0;1;2015-02-06;2015.0;1;;;2023-12-05 16:34:45.183
1306;2219;II 410;II;Región de  Valparaíso;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Valparaíso - San Antonio;2013-03-31;2013-06-13;;2013.0;2013.0;;0;1;1;0;67.0;2013-06-13;2013.0;1;2013-07-09;2013.0;2;2019-07-08;;2023-12-05 16:34:45.183
1307;222;II 629;II;Región de  Coquimbo;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2006-08-13;2006-12-15;;2006.0;2006.0;;0;1;1;0;124.0;2006-12-15;2006.0;1;2007-01-04;2007.0;2;2013-01-02;;2023-12-05 16:34:45.183
1308;2220;II 699;II;Región de Los Lagos;Desierto;Desierto en analisis curricular;Ministerio de Salud;Servicio de Salud Chiloé;2013-03-31;;;2013.0;;;1;0;0;0;;2013-05-03;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1309;2221;I 105;I;Región de Metropolitana de Santiago;Desierto;Desierto en Entrevistas;Administración Central;Servicio Electoral;2013-04-28;;;2013.0;;;1;0;0;0;;2013-07-12;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1310;2222;N 34;I;Región de Aysén del General Carlos Ibañez del Campo;Nombrado;Nombrado;Administración Central;Tribunal Tributario Aduanero Región Aysén;2013-07-28;2013-10-18;;2013.0;2013.0;;0;1;1;0;75.0;2013-10-18;2013.0;1;2014-03-07;2014.0;1;;;2023-12-05 16:34:45.183
1311;2223;II 591;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Vivienda y Urbanismo;Parque Metropolitano de Santiago;2013-05-26;2013-07-30;;2013.0;2013.0;;0;1;1;0;58.0;2013-07-30;2013.0;1;2013-08-22;2013.0;1;2016-08-21;;2023-12-05 16:34:45.183
1312;2224;II 961;II;Región del Biobío;Nombrado;DESVINCULADO;Administración Central;Municipalidad de Los Alamos;2013-04-21;2013-07-10;;2013.0;2013.0;;0;1;1;0;73.0;2013-07-10;2013.0;1;2013-08-09;2013.0;1;;;2023-12-05 16:34:45.183
1313;2225;I 128;I;Región de Antofagasta;Desierto;Desierto por Autoridad;Ministerio de Hacienda;Subsecretaria de Hacienda;2013-03-24;2013-08-08;2013-11-05;2013.0;2013.0;2013.0;1;1;0;0;130.0;2013-08-08;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1314;2226;I 129;I;Región de Antofagasta;Nombrado;FINALIZADO CON NOMBRAMIENTO;Ministerio de Hacienda;Subsecretaria de Hacienda;2013-03-24;2013-08-08;;2013.0;2013.0;;0;1;0;0;130.0;2013-08-08;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1315;2227;I 130;I;Región de Antofagasta;Desierto;Desierto por Autoridad;Ministerio de Hacienda;Subsecretaria de Hacienda;2013-03-24;2013-08-08;2013-11-05;2013.0;2013.0;2013.0;1;1;0;0;130.0;2013-08-08;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1316;2228;I 131;I;Región de Antofagasta;Nombrado;DESVINCULADO;Ministerio de Hacienda;Subsecretaria de Hacienda;2013-03-24;2013-08-08;;2013.0;2013.0;;0;1;0;0;130.0;2013-08-08;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1317;2229;II 406;II;Región de  Valparaíso;Desierto;Desierto por Autoridad;Ministerio de Salud;Servicio de Salud Viña del Mar - Quillota;2013-04-07;2013-06-21;2013-07-29;2013.0;2013.0;2013.0;1;1;0;0;68.0;2013-06-21;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1318;223;II 632;II;Región del Libertador General Bernardo OHiggins;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2006-08-13;2006-11-20;;2006.0;2006.0;;0;1;1;0;99.0;2006-11-20;2006.0;1;2007-01-04;2007.0;2;2013-01-02;;2023-12-05 16:34:45.183
1319;2230;II 384;II;Región de  Atacama;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Atacama;2013-06-02;2013-08-13;;2013.0;2013.0;;0;1;1;0;65.0;2013-08-13;2013.0;1;2013-09-03;2013.0;1;2016-09-02;;2023-12-05 16:34:45.183
1320;2231;II 229;II;Región de Metropolitana de Santiago;Desierto;Desierto en Entrevistas;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;2014-08-10;;;2014.0;;;1;0;0;0;;2014-11-11;2014.0;1;;;0;;;2023-12-05 16:34:45.183
1321;2232;II 822;II;Región de la Araucanía;Nombrado;Desvinculado;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;2013-04-28;2013-08-08;;2013.0;2013.0;;0;1;1;0;95.0;2013-08-08;2013.0;1;2013-09-09;2013.0;1;2016-09-08;;2023-12-05 16:34:45.183
1322;2233;II 293;II;Región de Metropolitana de Santiago;Desierto;DESIERTO;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;2015-11-08;;;2015.0;;;1;0;0;0;;2016-01-06;2016.0;1;;;0;;;2023-12-05 16:34:45.183
1323;2234;II 425;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Metropolitano Norte;2013-06-02;2013-08-27;;2013.0;2013.0;;0;1;1;0;79.0;2013-08-27;2013.0;1;2013-09-16;2013.0;1;2016-09-15;;2023-12-05 16:34:45.183
1324;2235;II 60;II;Región del Libertador General Bernardo OHiggins;Nombrado;DESVINCULADO;Ministerio de Hacienda;Servicio de Tesorerías - Tesorería General de la República;2013-04-28;2013-07-25;;2013.0;2013.0;;0;1;1;0;81.0;2013-07-25;2013.0;1;2013-08-27;2013.0;2;2019-08-26;;2023-12-05 16:34:45.183
1325;2236;II 605;II;Región de Antofagasta;Desierto;Desierto por Autoridad;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;2013-04-21;2013-07-23;2013-08-13;2013.0;2013.0;2013.0;1;1;0;0;86.0;2013-07-23;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1326;2237;N 3;I;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Administración Central;Consejo para la Transparencia;2013-06-09;2013-08-21;;2013.0;2013.0;;0;1;1;0;66.0;2013-08-21;2013.0;1;2013-09-24;2013.0;1;;;2023-12-05 16:34:45.183
1327;2238;II 635;II;Región de la Araucanía;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2013-04-28;2013-07-30;;2013.0;2013.0;;0;1;1;0;86.0;2013-07-30;2013.0;1;2013-08-16;2013.0;1;2016-08-15;;2023-12-05 16:34:45.183
1328;2239;II 239;II;Región de la Araucanía;Desierto;Desierto por Autoridad;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;2013-04-21;2013-07-22;2013-09-02;2013.0;2013.0;2013.0;1;1;0;0;85.0;2013-07-22;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1329;224;II 633;II;Región del Maule;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2006-08-13;2006-12-15;;2006.0;2006.0;;0;1;1;0;124.0;2006-12-15;2006.0;1;2007-01-17;2007.0;2;2013-01-15;;2023-12-05 16:34:45.183
1330;2240;II 887;II;Región de  Coquimbo;Nombrado;Desvinculado;Administración Central;Municipalidad de Canela;2013-12-29;2014-03-28;;2013.0;2014.0;;0;1;1;0;54.0;2014-03-28;2014.0;1;2014-09-22;2014.0;1;;;2023-12-05 16:34:45.183
1331;2241;II 428;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Salud;Servicio de Salud Metropolitano Oriente;2013-06-02;2013-08-21;;2013.0;2013.0;;0;1;1;0;73.0;2013-08-21;2013.0;1;2013-08-28;2013.0;1;2016-08-27;;2023-12-05 16:34:45.183
1332;2242;II 16;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Defensa Nacional;Caja de Previsión de la Defensa Nacional;2013-05-26;2013-08-14;;2013.0;2013.0;;0;1;1;0;73.0;2013-08-14;2013.0;1;2013-09-12;2013.0;1;2016-09-11;;2023-12-05 16:34:45.183
1333;2243;II 607;II;Región de  Coquimbo;Nombrado;Desvinculado;Ministerio de Agricultura;Instituto de Desarrollo Agropecuario;2014-10-26;2015-01-21;;2014.0;2015.0;;0;1;1;0;87.0;2015-01-21;2015.0;1;2015-02-04;2015.0;2;2021-02-02;;2023-12-05 16:34:45.183
1334;2244;II 819;II;Región del Libertador General Bernardo OHiggins;Nombrado;Desvinculado;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;2013-05-12;2013-08-08;;2013.0;2013.0;;0;1;1;0;88.0;2013-08-08;2013.0;1;2013-08-27;2013.0;1;2016-08-26;;2023-12-05 16:34:45.183
1335;2245;II 811;II;Región de Metropolitana de Santiago;Desierto;Desierto por Autoridad;Ministerio del Medio Ambiente;Servicio de Evaluación Ambiental;2013-06-09;2013-09-03;2013-10-21;2013.0;2013.0;2013.0;1;1;0;0;79.0;2013-09-03;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1336;2246;II 962;II;Región de Los Ríos;Nombrado;Desvinculado;Administración Central;Municipalidad de La Unión;2013-07-14;2013-10-01;;2013.0;2013.0;;0;1;1;0;72.0;2013-10-01;2013.0;1;2013-10-16;2013.0;1;;;2023-12-05 16:34:45.183
1337;2247;II 879;II;Región de Aysén del General Carlos Ibañez del Campo;Desierto;Desierto en Entrevistas;Administración Central;Municipalidad de Coyhaique;2013-12-29;;;2013.0;;;1;0;0;0;;2014-03-18;2014.0;1;;;0;;;2023-12-05 16:34:45.183
1338;2248;II 316;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Obras Públicas;Dirección de Arquitectura;2013-07-21;2013-10-11;;2013.0;2013.0;;0;1;1;0;75.0;2013-10-11;2013.0;1;2013-10-18;2013.0;1;2016-10-17;;2023-12-05 16:34:45.183
1339;2249;II 618;II;Región de Metropolitana de Santiago;Desierto;Desierto en Entrevistas;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2013-05-05;;;2013.0;;;1;0;0;0;;2013-07-22;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1340;225;II 634;II;Región del Biobío;Nombrado;Desvinculado;Ministerio de Agricultura;Servicio Agrícola y Ganadero;2006-08-13;2006-11-20;;2006.0;2006.0;;0;1;1;0;99.0;2006-11-20;2006.0;1;2007-01-04;2007.0;1;2010-01-03;;2023-12-05 16:34:45.183
1341;2250;II 640;II;Región de Metropolitana de Santiago;Nombrado;Desvinculado;Ministerio de Minería;Servicio Nacional de Geología y Minería;2013-08-04;2013-10-25;;2013.0;2013.0;;0;1;1;0;75.0;2013-10-25;2013.0;1;2013-11-14;2013.0;1;2016-11-13;;2023-12-05 16:34:45.183
1342;2251;N 11;I;Región de Tarapacá;Desierto;Desierto por Autoridad;Ministerio de Hacienda;Subsecretaria de Hacienda;2013-07-28;2013-10-18;2015-01-29;2013.0;2013.0;2015.0;1;1;0;0;75.0;2013-10-18;2013.0;1;;;0;;;2023-12-05 16:34:45.183
1343;2253;II 963;II;Región de la Araucanía;Desierto;Desierto por Autoridad;Administración Central;Municipalidad de Pucón;2013-07-14;2013-10-11;2014-02-04;2013.0;2013.0;2014.0;1;1;1;0;82.0;2013-10-11;2013.0;1;2013-11-25;2013.0;1;;;2023-12-05 16:34:45.183
1344;2254;II 771;II;Región de Metropolitana de Santiago;Nombrado;DESVINCULADO;Administración Central;Servicio Electoral;2013-07-21;2013-10-11;;2013.0;2013.0;;0;1;1;0;75.0;2013-10-11;2013.0;1;2013-11-12;2013.0;0;;;2023-12-05 16:34:45.183
1345;2255;II 302;II;Región de  Coquimbo;Desierto;Desierto por Autoridad;Ministerio del Trabajo y Previsión Social;Servicio Nacional de Capacitación y Empleo;2014-08-24;2014-12-17;2015-06-15;2014.0;2014.0;2015.0;1;1;0;0;108.0;2014-12-17;2014.0;1;;;0;;;2023-12-05 16:34:45.183
